strike,2021-05-21,2021-06-18,2021-08-20,2021-11-19
1.0,1.0,0.75,0.25,1.328125
2.0,1.0,0.75,0.25,1.328125
3.0,1.0,0.75,0.25,1.328125
3.5,1.0,0.75,0.25,0.7890625
4.0,1.0,0.75,0.25,0.25
4.5,1.0,0.625,0.25,0.3671875
5.0,1.5,0.5,0.46875,0.484375
5.5,1.0625,0.546875,0.515625,0.515625
6.0,0.625,0.59375,0.546875,0.546875
7.0,1.0,0.71875,0.59375,0.59375
8.0,1.0,0.8125,0.6875,0.625
9.0,1.0,0.9375,0.734375,0.671875
10.0,1.0,1.0,0.765625,0.65625
11.0,1.0,1.0,0.84375,0.734375
12.0,1.0,1.25,0.9375,0.90625
13.0,1.0,1.25,0.90625,1.234375
14.0,1.0,1.25,0.875,0.9140625
15.0,1.0,1.25,1.03125,0.78125
16.0,1.0,1.25,1.0625,0.9375
17.0,1.0,1.25,1.15625,0.9375
18.0,1.0,1.25,1.125,0.9375
19.0,1.0,1.25,1.28125,0.9375
20.0,1.0,1.25,1.0,0.9375
