strike,2021-05-21,2021-06-18,2021-08-20,2021-11-19
1.0,1.5,1.25,0.78125,1.0
2.0,1.5,1.25,0.78125,1.0
3.0,1.5,1.25,0.78125,0.875
3.5,1.5,1.15625,0.78125,0.84375
4.0,1.5,1.0625,0.78125,0.8125
4.5,1.5,0.9375,0.78125,0.8359375
5.0,1.5,0.8125,0.8125,0.859375
5.5,0.5,0.828125,0.96875,0.9453125
6.0,0.75,0.84375,0.890625,1.03125
7.0,1.75,0.96875,0.96875,0.96875
8.0,1.75,1.21875,1.046875,1.0546875
9.0,1.75,1.25,1.046875,1.21875
10.0,1.75,1.25,1.1875,0.9375
11.0,1.75,1.25,1.796875,1.09375
12.0,1.75,1.25,1.859375,1.1171875
13.0,1.75,1.25,1.921875,1.140625
14.0,1.75,1.25,1.90625,1.15625
15.0,1.75,1.25,1.671875,1.015625
16.0,1.75,1.25,1.6666666666666667,1.015625
17.0,1.75,1.25,1.6614583333333333,1.015625
18.0,1.75,1.25,1.65625,1.015625
19.0,1.75,1.25,1.75,1.015625
20.0,1.75,1.25,1.75,1.015625
