strike,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-06-30,2021-07-02,2021-07-16,2021-08-20,2021-09-17,2021-09-30,2021-12-17,2021-12-31
19.0,0.375,0.4375,0.34375,1.375,0.359375,1.3125,0.3828125,0.421875,0.38671875,0.640625,1.2265625,0.37109375,0.458984375
20.0,0.375,0.4375,0.34375,1.375,0.359375,1.3125,0.3828125,0.421875,0.38671875,0.640625,0.75,0.37109375,0.458984375
21.0,0.375,0.4375,0.34375,1.375,0.359375,1.225,0.3828125,0.421875,0.38671875,0.640625,0.90625,0.37109375,0.458984375
22.0,0.375,0.4375,0.34375,1.375,0.359375,1.1375,0.3828125,0.421875,0.38671875,0.640625,0.703125,0.37109375,0.458984375
23.0,0.375,0.4375,0.34375,1.375,0.359375,1.05,0.3828125,0.421875,0.38671875,0.640625,0.765625,0.37109375,0.458984375
24.0,0.375,0.4375,0.34375,1.25,0.359375,0.9625,0.3828125,0.421875,0.38671875,0.640625,0.7265625,0.37109375,0.458984375
25.0,0.375,0.4375,0.34375,1.125,0.359375,0.875,0.3828125,0.421875,0.38671875,0.640625,0.640625,0.37109375,0.458984375
26.0,0.375,0.4375,0.34375,1.0,0.359375,1.0,0.3828125,0.421875,0.38671875,0.640625,0.671875,0.37109375,0.458984375
27.0,0.375,0.4375,0.34375,1.0,0.359375,0.90625,0.3828125,0.421875,0.38671875,0.7421875,0.6484375,0.37109375,0.458984375
28.0,0.375,0.4375,0.34375,1.0,0.359375,0.875,0.3828125,0.421875,0.38671875,0.6328125,0.625,0.37109375,0.458984375
29.0,0.375,0.4375,0.34375,0.875,0.359375,0.84375,0.3828125,0.421875,0.38671875,0.5,0.5625,0.37109375,0.458984375
30.0,0.375,0.4375,0.34375,0.875,0.359375,0.78125,0.3828125,0.421875,0.38671875,0.546875,0.5,0.37109375,0.458984375
31.0,0.375,0.4375,0.34375,1.046875,0.359375,1.2421875,0.3828125,0.421875,0.38671875,0.484375,0.578125,0.37109375,0.458984375
32.0,0.375,0.4375,0.34375,0.5,0.359375,0.890625,0.3828125,0.421875,0.38671875,0.515625,0.4921875,0.37109375,0.458984375
33.0,0.375,0.4375,0.34375,0.6875,0.359375,0.65625,0.3828125,0.421875,0.38671875,0.484375,0.484375,0.37109375,0.458984375
34.0,0.375,0.4375,0.34375,0.71875,0.359375,0.625,0.3828125,0.421875,0.38671875,0.46875,0.56640625,0.37109375,0.458984375
35.0,0.375,0.4375,0.34375,0.71875,0.359375,0.65625,0.3828125,0.421875,0.38671875,0.4609375,0.63671875,0.37109375,0.458984375
36.0,0.375,0.4375,0.34375,0.625,0.359375,0.59375,0.3828125,0.421875,0.38671875,0.421875,0.4375,0.37109375,0.458984375
37.0,0.375,0.4375,0.34375,0.625,0.359375,0.59375,0.3828125,0.421875,0.38671875,0.453125,0.421875,0.37109375,0.458984375
38.0,0.375,0.4375,0.34375,0.5625,0.359375,0.609375,0.3828125,0.421875,0.38671875,0.42578125,0.390625,0.37109375,0.458984375
39.0,0.375,0.4375,0.34375,0.5625,0.359375,0.484375,0.3828125,0.421875,0.38671875,0.3984375,0.39501953125,0.37109375,0.458984375
40.0,0.375,0.4375,0.34375,0.53125,0.359375,0.453125,0.3828125,0.421875,0.38671875,0.4140625,0.3994140625,0.37109375,0.458984375
41.0,0.375,0.4375,0.34375,0.515625,0.359375,0.5703125,0.3828125,0.421875,0.38671875,0.41015625,0.40380859375,0.3671875,0.458984375
42.0,0.375,0.4375,0.34375,0.46875,0.359375,0.453125,0.3828125,0.421875,0.38671875,0.38671875,0.408203125,0.330078125,0.458984375
43.0,0.375,0.4375,0.34375,0.45909926470588236,0.359375,0.4453125,0.3828125,0.3984375,0.390625,0.39453125,0.369140625,0.349609375,0.458984375
43.5,0.375,0.4375,0.34375,0.4494485294117647,0.359375,0.423828125,0.3828125,0.392578125,0.3876953125,0.380859375,0.3564453125,0.3544921875,0.458984375
44.0,0.375,0.4375,0.34375,0.4397977941176471,0.359375,0.40234375,0.3828125,0.38671875,0.384765625,0.3671875,0.34375,0.359375,0.458984375
44.5,0.375,0.4375,0.34375,0.43014705882352944,0.359375,0.41796875,0.3828125,0.3828125,0.3935546875,0.36328125,0.3505859375,0.353515625,0.4111328125
45.0,0.375,0.4375,0.34375,0.42049632352941174,0.359375,0.43359375,0.3828125,0.37890625,0.40234375,0.359375,0.357421875,0.34765625,0.36328125
45.5,0.375,0.4375,0.34375,0.4108455882352941,0.359375,0.408203125,0.392578125,0.375,0.3828125,0.3597005208333333,0.361328125,0.34912109375,0.37109375
46.0,0.375,0.4375,0.34375,0.40119485294117646,0.359375,0.3828125,0.40234375,0.37109375,0.36328125,0.3600260416666667,0.365234375,0.3505859375,0.37890625
46.5,0.375,0.453125,0.34375,0.3915441176470588,0.359375,0.37890625,0.384765625,0.3642578125,0.361328125,0.3603515625,0.365234375,0.3544921875,0.34912109375
47.0,0.375,0.359375,0.34375,0.3818933823529412,0.375,0.375,0.3671875,0.357421875,0.359375,0.3606770833333333,0.365234375,0.3583984375,0.3193359375
47.5,0.375,0.34375,0.34375,0.37224264705882354,0.37109375,0.361328125,0.37890625,0.3525390625,0.3564453125,0.3610026041666667,0.3759765625,0.36181640625,0.33837890625
48.0,0.375,0.328125,0.390625,0.36259191176470584,0.3515625,0.34765625,0.390625,0.34765625,0.353515625,0.361328125,0.38671875,0.365234375,0.357421875
48.5,0.375,0.4140625,0.3203125,0.3529411764705882,0.33984375,0.3515625,0.3984375,0.34765625,0.3486328125,0.3616536458333333,0.3740234375,0.35302734375,0.3583984375
49.0,0.34375,0.3125,0.30859375,0.34329044117647056,0.33984375,0.35546875,0.40625,0.34765625,0.34375,0.3619791666666667,0.361328125,0.3408203125,0.359375
49.5,0.34375,0.296875,0.296875,0.3336397058823529,0.3515625,0.34765625,0.369140625,0.3427734375,0.341796875,0.3623046875,0.3525390625,0.34033203125,0.3603515625
50.0,0.328125,0.2890625,0.29296875,0.3239889705882353,0.337890625,0.33984375,0.33203125,0.337890625,0.33984375,0.3626302083333333,0.34375,0.33984375,0.361328125
50.5,0.3203125,0.29296875,0.30078125,0.31433823529411764,0.33984375,0.3330078125,0.333984375,0.3388671875,0.3359375,0.3629557291666667,0.369140625,0.337890625,0.35791015625
