strike,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-06-30,2021-07-16,2021-08-20,2021-09-17,2021-09-30,2021-11-19,2021-12-17,2021-12-31
130.0,0.75,0.359375,0.3828125,0.421875,0.5234375,0.625,0.48828125,0.416015625,0.375,0.373046875,0.4169921875,0.4375,0.47265625,0.39013671875
133.0,0.75,0.359375,0.3828125,0.421875,0.5234375,0.625,0.48828125,0.416015625,0.375,0.373046875,0.4169921875,0.4375,0.47265625,0.39013671875
134.0,0.75,0.359375,0.3828125,0.421875,0.5234375,0.625,0.48828125,0.416015625,0.375,0.373046875,0.4169921875,0.435546875,0.47265625,0.39013671875
135.0,0.75,0.359375,0.3828125,0.421875,0.5234375,0.625,0.48828125,0.416015625,0.375,0.373046875,0.4169921875,0.443359375,0.47265625,0.39013671875
140.0,0.75,0.359375,0.3828125,0.421875,0.5234375,0.609375,0.48828125,0.416015625,0.375,0.373046875,0.4169921875,0.451171875,0.47265625,0.39013671875
145.0,0.75,0.359375,0.3828125,0.421875,0.5234375,0.59375,0.48828125,0.416015625,0.375,0.373046875,0.4169921875,0.4091796875,0.47265625,0.39013671875
149.0,0.75,0.359375,0.3828125,0.421875,0.5234375,0.5625,0.48828125,0.416015625,0.375,0.373046875,0.4169921875,0.39794921875,0.47265625,0.39013671875
150.0,0.75,0.359375,0.3828125,0.421875,0.5234375,0.53125,0.48828125,0.416015625,0.375,0.373046875,0.4169921875,0.38671875,0.41015625,0.39013671875
151.0,0.75,0.359375,0.3828125,0.421875,0.5234375,0.525,0.48828125,0.416015625,0.375,0.373046875,0.4169921875,0.3888671875,0.4697265625,0.39013671875
152.0,0.75,0.359375,0.3828125,0.421875,0.5234375,0.51875,0.48828125,0.416015625,0.375,0.373046875,0.4169921875,0.391015625,0.4228515625,0.39013671875
153.0,0.75,0.359375,0.3828125,0.421875,0.5234375,0.5125,0.48828125,0.416015625,0.375,0.373046875,0.4169921875,0.3931640625,0.4658203125,0.39013671875
154.0,0.75,0.359375,0.3828125,0.421875,0.5234375,0.50625,0.48828125,0.416015625,0.375,0.373046875,0.4169921875,0.3953125,0.462890625,0.39013671875
155.0,0.75,0.359375,0.3828125,0.421875,0.5234375,0.5,0.48828125,0.416015625,0.375,0.373046875,0.4169921875,0.3974609375,0.400390625,0.39013671875
158.0,0.75,0.359375,0.3828125,0.421875,0.5234375,0.515625,0.48828125,0.416015625,0.375,0.373046875,0.4169921875,0.39013671875,0.373046875,0.39013671875
160.0,0.75,0.359375,0.3828125,0.421875,0.5234375,0.53125,0.48828125,0.416015625,0.375,0.373046875,0.4169921875,0.3828125,0.34228515625,0.39013671875
161.0,0.75,0.359375,0.3828125,0.421875,0.5234375,0.51875,0.48828125,0.416015625,0.375,0.373046875,0.4169921875,0.376171875,0.490234375,0.39013671875
162.0,0.75,0.359375,0.3828125,0.421875,0.5234375,0.50625,0.48828125,0.416015625,0.375,0.373046875,0.4169921875,0.36953125,0.48876953125,0.39013671875
163.0,0.75,0.359375,0.3828125,0.421875,0.5234375,0.49375,0.48828125,0.416015625,0.375,0.373046875,0.4169921875,0.362890625,0.486083984375,0.39013671875
164.0,0.75,0.359375,0.3828125,0.421875,0.552734375,0.48125,0.4765625,0.416015625,0.375,0.373046875,0.4169921875,0.35625,0.4833984375,0.39013671875
165.0,0.75,0.359375,0.3828125,0.421875,0.4609375,0.46875,0.4453125,0.416015625,0.375,0.373046875,0.4169921875,0.349609375,0.3369140625,0.39013671875
166.0,0.75,0.359375,0.3828125,0.421875,0.529296875,0.464453125,0.47265625,0.416015625,0.375,0.373046875,0.4169921875,0.35517578125,0.39208984375,0.39013671875
167.0,0.75,0.359375,0.3828125,0.421875,0.453125,0.46015625,0.494140625,0.416015625,0.375,0.4169921875,0.4169921875,0.3607421875,0.326171875,0.39013671875
168.0,0.75,0.359375,0.3828125,0.421875,0.52734375,0.455859375,0.4375,0.416015625,0.375,0.3720703125,0.4169921875,0.36630859375,0.35302734375,0.39013671875
169.0,0.75,0.359375,0.3828125,0.421875,0.5078125,0.4515625,0.46875,0.40234375,0.375,0.3935546875,0.4169921875,0.371875,0.4658203125,0.39013671875
170.0,0.75,0.359375,0.3828125,0.421875,0.4453125,0.447265625,0.423828125,0.3984375,0.375,0.357421875,0.4169921875,0.37744140625,0.3330078125,0.39013671875
171.0,0.75,0.359375,0.3828125,0.421875,0.4609375,0.4421875,0.484375,0.404296875,0.375,0.3515625,0.4169921875,0.3701171875,0.36328125,0.39013671875
172.0,0.75,0.359375,0.3828125,0.421875,0.4375,0.437109375,0.45703125,0.470703125,0.375,0.34375,0.384765625,0.36279296875,0.3619525615985577,0.39013671875
