strike,2021-03-19,2021-04-16,2021-05-21,2021-08-20
1.0,1.25,1.75,1.4375,1.078125
2.0,1.25,1.75,1.4375,1.078125
3.0,1.25,1.75,1.4375,1.078125
3.5,1.25,1.375,1.4375,1.078125
4.0,1.25,1.0,1.1875,1.078125
4.5,1.25,1.0,1.0,1.078125
5.0,1.25,1.0,1.0,1.203125
5.5,1.25,1.015625,1.0,1.171875
6.0,1.25,1.03125,0.96875,1.03125
7.0,1.25,1.140625,1.078125,1.203125
8.0,1.25,1.28125,1.015625,1.5234375
9.0,1.25,1.28125,1.09375,1.140625
10.0,1.25,1.28125,1.34375,1.671875
11.0,1.25,1.28125,1.390625,1.75
12.0,1.25,1.28125,1.5416666666666667,1.8203125
13.0,1.25,1.28125,1.6927083333333333,1.890625
14.0,1.25,1.28125,1.84375,1.609375
15.0,1.25,1.28125,1.84375,1.359375
16.0,1.25,1.28125,1.84375,1.359375
17.0,1.25,1.28125,1.84375,1.359375
18.0,1.25,1.28125,1.84375,1.359375
19.0,1.25,1.28125,1.84375,1.359375
20.0,1.25,1.28125,1.84375,1.359375
