strike,2021-03-19,2021-04-16,2021-05-21,2021-08-20
1.0,1.0,1.0,1.625,1.5
2.0,1.0,1.0,1.625,1.5
3.0,1.0,1.0,1.625,1.5
3.5,1.0,1.0,1.625,1.5
4.0,1.0,1.0,1.625,0.78125
4.5,1.0,1.0,1.359375,0.90625
5.0,1.0,1.0,1.09375,0.859375
5.5,1.0,1.125,0.9375,1.15625
6.0,1.0,1.25,1.03125,1.1953125
7.0,1.0,1.03125,1.0,0.984375
8.0,1.75,1.109375,1.0625,1.0546875
9.0,1.75,1.21875,1.203125,1.265625
10.0,1.75,1.28125,1.171875,1.234375
11.0,1.75,1.40625,1.375,1.2265625
12.0,1.75,1.46875,1.34375,1.09375
13.0,1.75,1.625,1.328125,1.171875
14.0,1.75,1.84375,1.34375,1.1875
15.0,1.75,1.6875,1.453125,1.359375
16.0,1.75,1.84375,1.59375,1.296875
17.0,1.75,1.9375,1.609375,1.328125
18.0,1.75,1.9375,1.625,1.390625
19.0,1.75,1.9375,1.5,1.3125
20.0,1.75,1.9375,1.5,1.3359375
