strike,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-09-17,2021-12-17
42.0,1.9375,1.71875,0.9375,1.09375,1.3125,0.91015625,0.99609375,0.845703125
43.0,1.9375,1.71875,0.9375,1.09375,1.4375,0.91015625,1.015625,0.845703125
44.0,1.9375,1.71875,0.9375,1.09375,1.578125,0.91015625,1.03515625,0.845703125
45.0,1.9375,1.71875,0.9375,1.09375,1.125,0.91015625,1.0546875,0.845703125
46.0,1.9375,1.71875,0.9375,1.09375,1.09375,0.91015625,1.05859375,0.845703125
47.0,1.9375,1.71875,0.9375,1.09375,1.0625,0.91015625,1.0625,0.845703125
48.0,1.9375,1.71875,0.9375,1.09375,1.5234375,0.91015625,1.06640625,0.845703125
49.0,1.9375,1.71875,0.9375,1.09375,1.984375,0.91015625,1.0703125,0.845703125
50.0,1.9375,1.71875,0.9375,1.09375,1.1875,0.91015625,1.07421875,0.845703125
55.0,1.9375,1.71875,0.9375,1.09375,1.375,0.91015625,1.54296875,0.845703125
60.0,1.9375,1.71875,0.9375,1.09375,1.625,0.91015625,1.6015625,0.845703125
65.0,1.9375,1.71875,0.9375,1.09375,1.75,0.91015625,1.62109375,0.845703125
70.0,1.9375,1.71875,0.9375,1.09375,1.75,0.91015625,1.62109375,0.845703125
75.0,1.9375,1.71875,0.9375,1.09375,1.75,0.91015625,1.62109375,0.845703125
80.0,1.9375,1.71875,0.9375,1.09375,1.75,0.91015625,1.62109375,0.845703125
85.0,1.9375,1.71875,0.9375,1.09375,1.75,0.91015625,1.62109375,0.845703125
90.0,1.9375,1.71875,0.9375,1.09375,1.75,0.91015625,1.62109375,0.845703125
95.0,1.9375,1.71875,0.9375,1.09375,1.75,0.91015625,1.62109375,0.845703125
