strike,2021-04-16,2021-05-21,2021-08-20
1.0,1.25,1.25,1.0
2.0,1.25,1.25,1.0
3.0,1.25,1.25,1.0
3.5,1.25,1.25,1.0
4.0,1.25,1.0,1.0
4.5,1.25,0.875,1.0
5.0,1.25,0.875,1.046875
5.5,1.1875,0.875,1.03125
6.0,1.125,0.9375,1.09375
7.0,1.75,1.03125,0.9375
8.0,1.75,1.125,1.34375
9.0,1.75,1.25,1.046875
10.0,1.75,1.375,0.984375
11.0,1.75,1.5625,1.515625
12.0,1.75,1.5625,1.5703125
13.0,1.75,1.5625,1.625
14.0,1.75,1.5625,1.1875
15.0,1.75,1.5625,1.390625
16.0,1.75,1.5625,1.4765625
17.0,1.75,1.5625,1.5625
18.0,1.75,1.5625,1.5390625
19.0,1.75,1.5625,1.515625
20.0,1.75,1.5625,1.515625
