strike,2021-04-16,2021-05-21,2021-08-20
1.0,0.875,0.875,0.71875
2.0,0.875,0.875,0.71875
3.0,0.875,0.875,0.71875
3.5,0.875,0.875,0.71875
4.0,0.875,0.875,0.53125
4.5,0.875,0.5,0.65625
5.0,0.875,0.625,0.6875
5.5,0.875,0.71875,0.75
6.0,0.875,0.78125,0.828125
7.0,1.25,0.8125,0.796875
8.0,1.0,0.875,0.84375
9.0,1.0,1.0,0.90625
10.0,1.0,1.0625,0.90625
11.0,1.0,1.0625,0.890625
12.0,1.0,1.1875,1.09375
13.0,1.0,1.125,1.203125
14.0,1.0,1.5,1.0625
15.0,1.0,1.0,1.03125
16.0,1.0,1.5,1.265625
17.0,1.0,1.625,1.0625
18.0,1.0,1.625,1.15625
19.0,1.0,1.625,1.25
20.0,1.0,1.625,1.15625
