strike,2021-04-16,2021-05-21,2021-08-20
1.0,1.0,0.875,0.984375
2.0,1.0,0.875,0.984375
3.0,1.0,0.875,0.984375
3.5,1.0,0.875,0.984375
4.0,1.0,0.875,0.984375
4.5,1.0,0.875,0.953125
5.0,1.0,0.84375,0.96875
5.5,1.1875,0.875,0.96875
6.0,1.375,0.96875,1.0
7.0,1.375,0.96875,0.921875
8.0,1.375,1.125,1.265625
9.0,1.375,0.8125,0.875
10.0,1.375,0.5,1.234375
11.0,1.375,0.5,1.40625
12.0,1.375,0.5,1.4609375
13.0,1.375,0.5,1.515625
14.0,1.375,0.5,0.875
15.0,1.375,0.5,1.1875
16.0,1.375,0.5,1.28125
17.0,1.375,0.5,1.375
18.0,1.375,0.5,1.296875
19.0,1.375,0.5,1.21875
20.0,1.375,0.5,1.21875
