strike,2021-05-21,2021-06-18,2021-08-20,2021-11-19
1.0,1.0,1.0,0.96875,1.125
2.0,1.0,1.0,0.96875,1.125
3.0,1.0,1.0,0.96875,0.96875
3.5,1.0,1.0625,0.96875,0.96875
4.0,1.0,1.125,0.96875,0.96875
4.5,1.5,1.03125,0.96875,0.984375
5.0,1.25,0.9375,0.9375,1.0
5.5,0.875,0.984375,0.90625,1.08203125
6.0,0.8125,1.03125,0.96875,1.1640625
7.0,0.84375,0.984375,1.171875,1.0859375
8.0,1.0625,1.125,1.09375,1.3046875
9.0,1.34375,1.71875,1.8046875,1.453125
10.0,1.625,1.375,1.46875,1.28125
11.0,1.625,1.578125,1.46875,1.4296875
12.0,1.625,1.78125,1.46875,1.4661458333333333
13.0,1.625,1.78125,1.46875,1.5026041666666667
14.0,1.625,1.78125,1.46875,1.5390625
15.0,1.625,1.78125,1.46875,1.5390625
16.0,1.625,1.78125,1.46875,1.5390625
17.0,1.625,1.78125,1.46875,1.5390625
18.0,1.625,1.78125,1.46875,1.5390625
19.0,1.625,1.78125,1.46875,1.5390625
20.0,1.625,1.78125,1.46875,1.5390625
