,AAPL,APHA,BAC,C,DT,GE,HEXO,IWM,JPM,MS,MSFT,NXTD,PLUG,TD,TLRY,TSLA,UAMY,USB,UVXY,XLE,XLV
AAPL,1.0,0.11824906957874824,0.10180481055262049,0.12525359324305252,0.45955561985521776,-0.006237805651834008,0.13340172252461618,0.3711727151485196,0.08628124106104726,0.2004990525268223,0.7113576629587142,0.17785068045162256,0.30726346914714203,0.2012667550687093,0.1093603614960705,0.49993386868946615,0.11143748077054848,0.06827687813638063,-0.47803428622793087,0.1121669088547068,0.4243674941553497
APHA,0.11824906957874824,1.0,0.19879971592271684,0.22608300619026012,0.16105582095492224,0.2194430453615236,0.6262895368380809,0.3348436484147478,0.20267148221197925,0.2433222534746942,0.10438204236917507,0.10462869260580997,0.2660650961349251,0.21884115870412185,0.778437910794389,0.2383609490761684,0.2668585799752257,0.17595670512242617,-0.22064403439592006,0.2621595121109638,0.20067863809228245
BAC,0.10180481055262049,0.19879971592271684,1.0,0.8946663478749614,0.020708335798298345,0.6235223157698223,0.23626720526978423,0.7075256377557131,0.9299248530560841,0.8210544623729544,0.11549759949731923,0.08286276158508633,0.22829691965327079,0.7713861159326271,0.21194112293469772,0.12400784910923304,0.04327232401429148,0.9174209650669815,-0.42265569294527433,0.7368809136617598,0.37552687178188593
C,0.12525359324305252,0.22608300619026012,0.8946663478749614,1.0,0.048173914438261876,0.6239619616667204,0.2607756085512746,0.7192324286730245,0.858897514375459,0.8161551098656042,0.14853931667131212,0.10879042355697824,0.291368363008769,0.7992183795513761,0.21615734459264344,0.1382990173352397,0.05164780010606431,0.8418033125200908,-0.45165142025250793,0.7293732763214951,0.34753505354792474
DT,0.45955561985521776,0.16105582095492224,0.020708335798298345,0.048173914438261876,1.0,-0.10931846510325752,0.12588536834860367,0.3480614950268166,0.008590453425777422,0.10352440721018615,0.5743432079632914,0.2550732922835192,0.309830017218755,0.12976337861133017,0.1508916916268137,0.39179634708903455,0.10830732924289642,0.011816737745754098,-0.4751839724926654,0.11255613199816149,0.3737035261893233
GE,-0.006237805651834008,0.2194430453615236,0.6235223157698223,0.6239619616667204,-0.10931846510325752,1.0,0.28681677773195025,0.5640886554269688,0.6112688430789728,0.6362879259364599,-0.029788101838291926,0.08430893893709412,0.1639627585287564,0.582318765656758,0.18500207378085248,0.04812656428458986,0.011496936183326093,0.6038855474794781,-0.33511930347061547,0.6134706130528843,0.28065062166909127
HEXO,0.13340172252461618,0.6262895368380809,0.23626720526978423,0.2607756085512746,0.12588536834860367,0.28681677773195025,1.0,0.3443468517998534,0.22134197463982347,0.23710472410539352,0.09309868357963882,0.10013040897927761,0.24473488570777185,0.26866708339194467,0.597376167746197,0.1427208743564957,0.16667654657846734,0.22061655768316324,-0.2379234709001149,0.23327559009369994,0.16341926365218679
IWM,0.3711727151485196,0.3348436484147478,0.7075256377557131,0.7192324286730245,0.3480614950268166,0.5640886554269688,0.3443468517998534,1.0,0.6788664767332272,0.7148873990655423,0.39055107439361064,0.23580087783471707,0.49097839691466233,0.7357945941471777,0.29037617763156,0.3881394701321814,0.1436480097973628,0.6947147882331085,-0.6758355725461643,0.730849002582132,0.5881901841790891
JPM,0.08628124106104726,0.20267148221197925,0.9299248530560841,0.858897514375459,0.008590453425777422,0.6112688430789728,0.22134197463982347,0.6788664767332272,1.0,0.8378055563921586,0.10708314287063195,0.06078293935366709,0.2513998479501132,0.759294765454912,0.21074634717335586,0.1202634811276815,0.06341185302023214,0.9075806941376092,-0.4092069871497479,0.7155150947677696,0.38596887067840513
MS,0.2004990525268223,0.2433222534746942,0.8210544623729544,0.8161551098656042,0.10352440721018615,0.6362879259364599,0.23710472410539352,0.7148873990655423,0.8378055563921586,1.0,0.18828502675853184,0.12098976231312251,0.2644349663892554,0.7668463834602375,0.21018699872799554,0.20303212398069856,0.04451728233642639,0.7928749312059019,-0.4600660968319922,0.6940169850003298,0.42622310069743513
MSFT,0.7113576629587142,0.10438204236917507,0.11549759949731923,0.14853931667131212,0.5743432079632914,-0.029788101838291926,0.09309868357963882,0.39055107439361064,0.10708314287063195,0.18828502675853184,1.0,0.255133047972686,0.3005274298913455,0.22656026488054676,0.1067408036823725,0.512362112270531,0.09388769583102585,0.07483259617759752,-0.5321577441086449,0.15420782064532298,0.5700231455901867
NXTD,0.17785068045162256,0.10462869260580997,0.08286276158508633,0.10879042355697824,0.2550732922835192,0.08430893893709412,0.10013040897927761,0.23580087783471707,0.06078293935366709,0.12098976231312251,0.255133047972686,1.0,0.20982115446018865,0.06696406493750241,0.08324427279368765,0.21292011933860056,0.03837665717779684,0.0631605648630479,-0.2814516434955337,0.121265815957817,0.15960153523604673
PLUG,0.30726346914714203,0.2660650961349251,0.22829691965327079,0.291368363008769,0.309830017218755,0.1639627585287564,0.24473488570777185,0.49097839691466233,0.2513998479501132,0.2644349663892554,0.3005274298913455,0.20982115446018865,1.0,0.19923829054418907,0.2458679730928449,0.3772733882560375,0.2619697287452463,0.21899708800291176,-0.41053485880458196,0.22550455309611495,0.2498124689910634
TD,0.2012667550687093,0.21884115870412185,0.7713861159326271,0.7992183795513761,0.12976337861133017,0.582318765656758,0.26866708339194467,0.7357945941471777,0.759294765454912,0.7668463834602375,0.22656026488054676,0.06696406493750241,0.19923829054418907,1.0,0.14945998408078648,0.2556534052816869,0.07595018228610133,0.7705748060608734,-0.5107197174514735,0.6981674371085782,0.43993785416278824
TLRY,0.1093603614960705,0.778437910794389,0.21194112293469772,0.21615734459264344,0.1508916916268137,0.18500207378085248,0.597376167746197,0.29037617763156,0.21074634717335586,0.21018699872799554,0.1067408036823725,0.08324427279368765,0.2458679730928449,0.14945998408078648,1.0,0.15213666935471937,0.2853192618849135,0.19372337869540146,-0.20672660536082524,0.2284680533899184,0.1299743040593256
TSLA,0.49993386868946615,0.2383609490761684,0.12400784910923304,0.1382990173352397,0.39179634708903455,0.04812656428458986,0.1427208743564957,0.3881394701321814,0.1202634811276815,0.20303212398069856,0.512362112270531,0.21292011933860056,0.3772733882560375,0.2556534052816869,0.15213666935471937,1.0,0.15065442299734105,0.10271181853555848,-0.3761030319197272,0.139053347466802,0.35085219916783794
UAMY,0.11143748077054848,0.2668585799752257,0.04327232401429148,0.05164780010606431,0.10830732924289642,0.011496936183326093,0.16667654657846734,0.1436480097973628,0.06341185302023214,0.04451728233642639,0.09388769583102585,0.03837665717779684,0.2619697287452463,0.07595018228610133,0.2853192618849135,0.15065442299734105,1.0,0.05928788407788242,-0.06586326572947848,0.1140414616227807,0.1068311188693567
USB,0.06827687813638063,0.17595670512242617,0.9174209650669815,0.8418033125200908,0.011816737745754098,0.6038855474794781,0.22061655768316324,0.6947147882331085,0.9075806941376092,0.7928749312059019,0.07483259617759752,0.0631605648630479,0.21899708800291176,0.7705748060608734,0.19372337869540146,0.10271181853555848,0.05928788407788242,1.0,-0.4016539669359521,0.7114183526023716,0.3681883156307166
UVXY,-0.47803428622793087,-0.22064403439592006,-0.42265569294527433,-0.45165142025250793,-0.4751839724926654,-0.33511930347061547,-0.2379234709001149,-0.6758355725461643,-0.4092069871497479,-0.4600660968319922,-0.5321577441086449,-0.2814516434955337,-0.41053485880458196,-0.5107197174514735,-0.20672660536082524,-0.3761030319197272,-0.06586326572947848,-0.4016539669359521,1.0,-0.4706531461204901,-0.6464709945374201
XLE,0.1121669088547068,0.2621595121109638,0.7368809136617598,0.7293732763214951,0.11255613199816149,0.6134706130528843,0.23327559009369994,0.730849002582132,0.7155150947677696,0.6940169850003298,0.15420782064532298,0.121265815957817,0.22550455309611495,0.6981674371085782,0.2284680533899184,0.139053347466802,0.1140414616227807,0.7114183526023716,-0.4706531461204901,1.0,0.42435978084989595
XLV,0.4243674941553497,0.20067863809228245,0.37552687178188593,0.34753505354792474,0.3737035261893233,0.28065062166909127,0.16341926365218679,0.5881901841790891,0.38596887067840513,0.42622310069743513,0.5700231455901867,0.15960153523604673,0.2498124689910634,0.43993785416278824,0.1299743040593256,0.35085219916783794,0.1068311188693567,0.3681883156307166,-0.6464709945374201,0.42435978084989595,1.0
