strike,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-18,2021-06-30,2021-07-16,2021-08-20,2021-09-17,2021-09-30
115.0,1.0,0.40625,0.4140625,0.390625,0.3984375,0.4375,0.71875,0.431640625,0.423828125,0.298828125,0.314453125,0.431640625,0.3857421875
125.0,1.0,0.40625,0.4140625,0.390625,0.3984375,0.4375,0.65625,0.431640625,0.423828125,0.298828125,0.314453125,0.431640625,0.3857421875
150.0,1.0,0.40625,0.4140625,0.390625,0.3984375,0.4375,0.5234375,0.431640625,0.423828125,0.298828125,0.314453125,0.431640625,0.3857421875
160.0,1.0,0.40625,0.4140625,0.390625,0.3984375,0.4375,0.4765625,0.431640625,0.423828125,0.298828125,0.314453125,0.431640625,0.3857421875
161.0,1.0,0.40625,0.4140625,0.390625,0.3984375,0.4375,0.4703125,0.431640625,0.423828125,0.298828125,0.314453125,0.431640625,0.3857421875
162.0,1.0,0.40625,0.4140625,0.390625,0.3984375,0.4375,0.4640625,0.431640625,0.435546875,0.298828125,0.314453125,0.431640625,0.3857421875
163.0,1.0,0.40625,0.4140625,0.390625,0.3984375,0.4375,0.4578125,0.431640625,0.412109375,0.298828125,0.314453125,0.431640625,0.3857421875
164.0,1.0,0.40625,0.4140625,0.390625,0.3984375,0.4375,0.4515625,0.494140625,0.412109375,0.298828125,0.314453125,0.431640625,0.3857421875
165.0,1.0,0.40625,0.4140625,0.390625,0.3984375,0.4375,0.4453125,0.419921875,0.4140625,0.298828125,0.314453125,0.373046875,0.3857421875
166.0,1.0,0.40625,0.4140625,0.390625,0.3984375,0.4375,0.44609375,0.447265625,0.41796875,0.298828125,0.314453125,0.416015625,0.3857421875
167.0,1.0,0.40625,0.4140625,0.390625,0.3984375,0.4375,0.446875,0.416015625,0.41796875,0.298828125,0.314453125,0.390625,0.3857421875
168.0,1.0,0.40625,0.4140625,0.390625,0.3984375,0.4375,0.44765625,0.419921875,0.396484375,0.298828125,0.314453125,0.4228515625,0.3857421875
169.0,1.0,0.40625,0.4140625,0.390625,0.3984375,0.4375,0.4484375,0.41015625,0.4677734375,0.298828125,0.314453125,0.3525390625,0.3857421875
170.0,1.0,0.40625,0.4140625,0.390625,0.3984375,0.4375,0.44921875,0.396484375,0.38671875,0.298828125,0.314453125,0.3486328125,0.3857421875
171.0,1.0,0.40625,0.4140625,0.390625,0.3984375,0.4375,0.44140625,0.3984375,0.4140625,0.298828125,0.314453125,0.3876953125,0.3857421875
172.0,1.0,0.40625,0.4140625,0.390625,0.3984375,0.421875,0.43359375,0.392578125,0.380859375,0.298828125,0.314453125,0.3525390625,0.3857421875
173.0,1.0,0.40625,0.4140625,0.390625,0.3984375,0.4140625,0.42578125,0.388671875,0.40234375,0.298828125,0.314453125,0.515625,0.3857421875
