strike,2021-04-16,2021-05-21,2021-08-20
1.0,1.625,1.375,0.75
2.0,1.625,1.375,0.75
3.0,1.625,1.375,0.75
3.5,1.625,1.375,0.75
4.0,1.625,1.125,0.84375
4.5,1.0625,0.875,0.625
5.0,0.5,0.625,0.875
5.5,0.625,0.78125,0.828125
6.0,0.75,0.75,0.796875
7.0,0.875,0.84375,0.921875
8.0,1.0,0.90625,0.9375
9.0,1.125,0.96875,0.9375
10.0,1.375,1.03125,0.984375
11.0,1.5,1.125,1.015625
12.0,1.875,1.1875,1.078125
13.0,1.875,1.09375,1.125
14.0,1.0,1.25,1.09375
15.0,1.1666666666666667,1.3125,1.09375
16.0,1.3333333333333333,1.5,1.1171875
17.0,1.5,1.25,1.265625
18.0,1.5,1.65625,1.421875
19.0,1.5,1.0,1.28125
20.0,1.5,1.5,1.125
