strike,2021-05-21,2021-07-16
0.5,1.5,1.1875
1.0,1.5,1.1875
1.5,1.5,1.125
2.0,1.75,1.5625
2.5,1.875,1.5625
3.0,1.875,1.75
3.5,1.875,1.75
