strike,2021-04-16,2021-05-21,2021-07-16,2021-08-20
20.0,0.703125,1.11328125,0.5,0.5234375
25.0,0.703125,1.11328125,0.5,0.5234375
30.0,0.703125,1.11328125,0.5,0.5234375
33.0,0.703125,1.11328125,0.5,0.5234375
34.0,0.703125,1.11328125,0.6455078125,0.5234375
35.0,0.703125,1.11328125,0.791015625,0.5234375
36.0,0.703125,1.11328125,0.73828125,0.5234375
37.0,0.703125,1.11328125,0.685546875,0.73828125
38.0,0.703125,0.95703125,0.6328125,0.953125
39.0,0.703125,1.0390625,0.580078125,0.767578125
40.0,0.703125,0.58984375,0.52734375,0.611328125
41.0,0.703125,1.09375,0.388671875,0.6647135416666666
42.0,0.703125,0.70703125,0.25,0.7180989583333334
43.0,0.703125,0.6328125,0.3098958333333333,0.771484375
44.0,0.703125,0.578125,0.3697916666666667,0.97265625
45.0,0.703125,0.537109375,0.4296875,0.64453125
46.0,0.6640625,0.49609375,0.42578125,0.32421875
47.0,0.625,0.3671875,0.421875,0.333984375
48.0,0.5859375,0.564453125,0.4544270833333333,0.416015625
49.0,0.546875,0.44921875,0.4869791666666667,0.4443359375
50.0,0.5078125,0.53125,0.51953125,0.5146484375
55.0,0.46875,0.55078125,0.48828125,0.490234375
60.0,0.609375,0.55078125,0.482421875,0.505859375
65.0,0.75,0.5234375,0.45703125,0.498046875
70.0,0.875,0.5546875,0.47265625,0.53125
75.0,1.0,0.8671875,0.484375,0.484375
80.0,1.125,0.8203125,0.484375,0.6484375
