strike,2021-03-26,2021-04-01,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-07-16
4.0,1.1875,1.0,1.125,1.5,1.40625,1.234375,1.75
4.5,1.1875,1.0,1.125,1.5,1.40625,1.234375,1.75
5.0,1.1875,1.0,1.125,1.5,1.40625,1.234375,1.75
5.5,1.1875,1.0,1.125,1.5,1.40625,1.234375,1.46875
6.0,1.1875,1.0,1.125,1.0,1.40625,1.234375,1.1875
7.0,1.1875,1.0,1.125,1.0,1.40625,1.234375,1.15625
8.0,1.1875,1.0,1.125,1.625,1.40625,1.234375,1.21875
9.0,1.1875,1.0,1.125,1.4375,1.40625,1.234375,1.1953125
10.0,1.1875,1.0,1.125,1.375,1.40625,1.234375,1.2265625
10.5,1.1875,1.40625,1.125,1.3125,1.40625,1.234375,1.20703125
11.0,1.1875,1.8125,1.125,1.25,1.40625,1.234375,1.1875
11.5,1.1875,1.59375,1.125,1.265625,1.40625,1.234375,1.21484375
12.0,1.1875,1.375,1.125,1.28125,1.40625,1.234375,1.2421875
13.0,1.1875,1.3125,1.125,1.21875,1.40625,1.234375,1.1484375
13.5,1.1875,1.21875,1.125,1.21875,1.40625,1.234375,1.1875
14.0,1.1875,1.125,1.125,1.21875,1.296875,1.234375,1.2265625
14.5,1.1875,1.140625,1.203125,1.20703125,1.296875,1.234375,1.23046875
15.0,1.1875,1.15625,1.125,1.1953125,1.296875,1.234375,1.234375
15.5,1.21875,1.140625,1.03125,1.16796875,1.140625,1.234375,1.23828125
16.0,1.0625,1.125,1.1875,1.140625,1.4375,1.234375,1.2421875
16.5,1.0,1.0859375,1.296875,1.1640625,1.640625,1.234375,1.220703125
17.0,1.0,1.046875,1.1953125,1.1875,1.28125,1.234375,1.19921875
17.5,0.96875,1.0859375,1.1015625,1.1796875,1.0078125,1.234375,1.21484375
18.0,0.984375,1.125,1.140625,1.171875,1.28125,1.234375,1.23046875
18.5,0.953125,1.15625,1.0625,1.171875,1.296875,1.234375,1.205078125
19.0,1.046875,1.1875,1.1171875,1.171875,1.15625,1.203125,1.1796875
19.5,0.953125,1.1953125,1.25,1.20703125,1.15234375,1.203125,1.228515625
20.0,1.09375,1.203125,1.28125,1.2421875,1.1484375,1.203125,1.27734375
20.5,1.21875,1.1953125,0.9140625,1.26953125,1.14453125,1.203125,1.255859375
21.0,1.109375,1.1875,1.203125,1.296875,1.140625,1.203125,1.234375
21.5,1.390625,1.203125,1.271875,1.28125,1.0546875,1.203125,1.244140625
22.0,1.40625,0.8125,1.340625,1.265625,0.96875,1.203125,1.25390625
22.5,1.5,1.21875,1.409375,1.2890625,1.7109375,1.203125,1.173828125
23.0,1.3125,0.90625,1.478125,1.3125,1.46875,1.203125,1.09375
23.5,1.296875,1.2109375,1.546875,1.3359375,1.2265625,1.203125,1.029296875
24.0,1.28125,1.515625,1.3515625,1.359375,0.984375,1.203125,0.96484375
24.5,1.296875,1.36328125,1.15625,1.3828125,0.984375,1.203125,1.01875
25.0,1.3125,1.2109375,0.875,1.40625,0.984375,1.203125,1.07265625
25.5,1.3125,1.05859375,0.875,1.4296875,0.984375,1.203125,1.1265625
26.0,1.3125,0.90625,0.875,1.453125,0.984375,1.203125,1.18046875
26.5,1.3125,0.90625,0.875,1.4765625,0.984375,1.203125,1.234375
27.0,1.3125,0.90625,0.875,1.5,0.984375,1.203125,1.28828125
27.5,1.3125,0.90625,0.875,1.5234375,0.984375,1.203125,1.3421875
28.0,1.3125,0.90625,0.875,1.546875,0.984375,1.203125,1.39609375
28.5,1.3125,0.90625,0.875,1.5703125,0.984375,1.203125,1.45
29.0,1.3125,0.90625,0.875,1.59375,0.984375,1.203125,1.50390625
29.5,1.3125,0.90625,0.875,1.6171875,0.984375,1.203125,1.244140625
30.0,1.3125,0.90625,0.875,1.640625,0.984375,1.203125,0.984375
30.5,1.3125,0.90625,0.875,1.49609375,0.984375,1.203125,1.02734375
31.0,1.3125,0.90625,0.875,1.3515625,0.984375,1.203125,1.0703125
31.5,1.3125,0.90625,0.875,1.3515625,0.984375,1.203125,1.11328125
32.0,1.3125,0.90625,0.875,1.3515625,0.984375,1.203125,1.15625
32.5,1.3125,0.90625,0.875,1.3515625,0.984375,1.203125,1.19921875
33.0,1.3125,0.90625,0.875,1.3515625,0.984375,1.203125,1.2421875
34.0,1.3125,0.90625,0.875,1.3515625,0.984375,1.203125,1.28515625
35.0,1.3125,0.90625,0.875,1.3515625,0.984375,1.203125,1.328125
36.0,1.3125,0.90625,0.875,1.3515625,0.984375,1.203125,1.328125
37.0,1.3125,0.90625,0.875,1.3515625,0.984375,1.203125,1.328125
38.0,1.3125,0.90625,0.875,1.3515625,0.984375,1.203125,1.328125
39.0,1.3125,0.90625,0.875,1.3515625,0.984375,1.203125,1.328125
40.0,1.3125,0.90625,0.875,1.3515625,0.984375,1.203125,1.328125
41.0,1.3125,0.90625,0.875,1.3515625,0.984375,1.203125,1.328125
42.0,1.3125,0.90625,0.875,1.3515625,0.984375,1.203125,1.328125
43.0,1.3125,0.90625,0.875,1.3515625,0.984375,1.203125,1.328125
44.0,1.3125,0.90625,0.875,1.3515625,0.984375,1.203125,1.328125
45.0,1.3125,0.90625,0.875,1.3515625,0.984375,1.203125,1.328125
46.0,1.3125,0.90625,0.875,1.3515625,0.984375,1.203125,1.328125
47.0,1.3125,0.90625,0.875,1.3515625,0.984375,1.203125,1.328125
48.0,1.3125,0.90625,0.875,1.3515625,0.984375,1.203125,1.328125
