strike,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-16,2021-09-17,2021-12-17
38.0,1.0,0.5,1.4375,1.15625,0.890625,1.484375,1.0,1.453125,1.40625,0.90625
39.0,1.0,0.5,1.4375,1.15625,0.890625,1.484375,1.0,1.453125,1.3359375,0.90625
40.0,1.0,0.5,1.4375,1.15625,0.890625,1.484375,1.0,1.453125,1.265625,0.90625
41.0,1.0,0.5,1.4375,1.15625,0.890625,1.484375,1.0,1.453125,1.1953125,0.90625
42.0,1.0,0.5,1.4375,1.15625,0.890625,1.484375,1.0,1.453125,1.125,0.90625
43.0,1.0,0.5,1.4375,1.15625,0.890625,1.484375,1.0,1.453125,1.0546875,0.90625
44.0,1.0,0.5,1.4375,1.15625,0.890625,1.484375,1.0,1.453125,1.46875,0.90625
45.0,1.0,0.5,1.4375,1.15625,0.890625,1.484375,1.0,1.453125,1.4352678571428572,0.90625
46.0,1.0,0.5,1.4375,1.15625,0.890625,1.484375,1.0,1.453125,1.4017857142857142,0.90625
47.0,1.0,0.5,1.4375,1.15625,0.890625,1.484375,1.0,1.453125,1.3683035714285714,0.90625
48.0,1.0,0.5,1.4375,1.15625,0.890625,1.484375,1.0,1.453125,1.3348214285714286,0.90625
49.0,1.0,0.5,1.4375,1.15625,0.890625,1.484375,1.0,1.453125,1.3013392857142858,0.90625
50.0,1.0,0.5,1.4375,1.15625,0.890625,1.484375,1.0,1.453125,1.2678571428571428,0.90625
55.0,1.0,0.5,1.4375,1.15625,0.890625,1.484375,1.0,1.453125,1.234375,0.90625
60.0,1.0,0.5,1.4375,1.15625,0.890625,1.484375,1.0,1.453125,1.234375,0.90625
