strike,2021-05-21,2021-06-18,2021-08-20
3.5,0.5625,0.25,0.5
4.0,0.5625,0.25,0.5
4.5,0.5625,0.453125,0.65625
5.0,0.65625,0.65625,0.734375
5.5,0.6875,0.6953125,0.796875
6.0,0.71875,0.734375,0.78125
7.0,0.84375,0.8125,0.8125
8.0,0.9375,0.90625,0.859375
9.0,1.0,0.96875,0.90625
10.0,1.0,0.96875,0.921875
11.0,1.25,1.125,1.03125
12.0,1.0,1.125,1.0
13.0,1.0,1.125,1.03125
14.0,1.0,1.125,0.96875
15.0,1.5,1.125,0.96875
16.0,1.75,1.125,1.03125
17.0,1.875,1.125,1.0625
18.0,1.90625,1.125,1.21875
19.0,1.9375,1.125,1.125
20.0,1.75,1.125,1.3125
