strike,2021-05-21,2021-07-16
0.5,1.75,1.5
1.0,1.75,1.625
1.5,1.75,1.8125
2.0,1.75,1.875
2.5,1.75,1.875
3.0,1.75,1.875
3.5,1.75,1.875
5.0,1.75,1.875
