strike,2021-06-18
14.0,0.71875
15.0,0.71875
16.0,0.71875
17.0,0.71875
18.0,0.71875
19.0,0.9609375
20.0,1.0625
21.0,1.1171875
22.0,1.265625
23.0,1.375
24.0,1.3828125
25.0,1.4375
26.0,1.40234375
27.0,1.4453125
28.0,1.421875
29.0,1.453125
30.0,1.578125
31.0,1.5703125
32.0,1.6171875
35.0,1.65625
