,AAPL,BAC,GE,IWM,MSFT,TSLA
AAPL,1.0,0.4316308785325753,0.268474927666146,0.5776004597541704,0.8054546121812063,0.49574679645143194
BAC,0.4316308785325753,1.0,0.719264946757508,0.8201407051442959,0.48953725443187057,0.23199960152306884
GE,0.268474927666146,0.719264946757508,1.0,0.6880990611249826,0.31185515112276946,0.17208859898275686
IWM,0.5776004597541704,0.8201407051442959,0.6880990611249826,1.0,0.6335769098925097,0.4495875537377999
MSFT,0.8054546121812063,0.48953725443187057,0.31185515112276946,0.6335769098925097,1.0,0.4849377357332396
TSLA,0.49574679645143194,0.23199960152306884,0.17208859898275686,0.4495875537377999,0.4849377357332396,1.0
