strike,2021-06-18
18.0,1.8359375
20.0,1.8359375
23.0,1.8359375
25.0,1.8359375
28.0,1.8359375
30.0,1.8359375
33.0,1.7109375
35.0,1.625
38.0,1.6796875
40.0,1.65625
43.0,1.65234375
45.0,1.6484375
47.0,1.72265625
50.0,1.78125
52.5,1.81640625
55.0,1.783203125
60.0,1.783203125
65.0,1.783203125
70.0,1.783203125
75.0,1.783203125
80.0,1.783203125
