strike,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-18,2021-09-17
48.0,1.5,1.53125,1.296875,1.140625,1.03125,0.9453125,0.984375,0.8310546875
49.0,1.5,1.546875,1.3046875,1.1484375,1.03125,0.9453125,1.046875,0.83154296875
50.0,1.5,1.5625,1.3125,1.15625,1.03125,0.9453125,0.9765625,0.83203125
51.0,1.5,1.5625,1.3125,1.16875,1.03125,0.9453125,0.9875,0.83515625
51.5,1.5,1.5625,1.3125,1.18125,1.03125,0.9453125,0.9984375,0.83828125
52.0,1.5,1.5625,1.3125,1.19375,1.03125,0.9453125,1.009375,0.84140625
52.5,1.5,1.5625,1.3125,1.20625,1.03125,0.9453125,1.0203125,0.84453125
55.0,1.5,1.5625,1.3125,1.21875,1.03125,0.9453125,1.03125,0.84765625
60.0,1.5,1.5625,1.3125,1.375,1.03125,0.9453125,1.1015625,0.890625
65.0,1.5,1.5625,1.3125,1.375,1.03125,0.9453125,1.15625,0.9140625
70.0,1.5,1.5625,1.3125,1.375,1.03125,0.9453125,1.15625,0.90234375
75.0,1.5,1.5625,1.3125,1.375,1.03125,0.9453125,1.21875,0.9140625
80.0,1.5,1.5625,1.3125,1.375,1.03125,0.9453125,1.28125,0.94921875
85.0,1.5,1.5625,1.3125,1.375,1.03125,0.9453125,1.3125,0.9609375
90.0,1.5,1.5625,1.3125,1.375,1.03125,0.9453125,1.25,0.96875
95.0,1.5,1.5625,1.3125,1.375,1.03125,0.9453125,1.3125,0.9921875
100.0,1.5,1.5625,1.3125,1.375,1.03125,0.9453125,1.4375,0.984375
105.0,1.5,1.5625,1.3125,1.375,1.03125,0.9453125,1.4375,0.984375
110.0,1.5,1.5625,1.3125,1.375,1.03125,0.9453125,1.375,1.0
