strike,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-02,2021-07-16,2021-08-20,2021-09-17,2021-10-15,2021-11-19
120.0,1.8203125,1.5859375,1.01953125,0.208984375,1.48046875,0.22314453125,0.6201171875,0.72265625,0.68359375,0.63671875,0.61328125,0.2880859375
125.0,1.8203125,1.5859375,1.01953125,0.208984375,1.48046875,0.22314453125,0.6201171875,0.72265625,0.68359375,0.63671875,0.61328125,0.2880859375
130.0,1.8203125,1.5859375,1.01953125,0.208984375,1.28515625,0.22314453125,0.6201171875,0.72265625,0.68359375,0.63671875,0.61328125,0.2880859375
135.0,1.8203125,1.5859375,1.01953125,0.208984375,1.22265625,0.22314453125,0.6201171875,0.72265625,0.68359375,0.63671875,0.61328125,0.2880859375
140.0,1.8203125,1.5859375,1.01953125,0.208984375,1.171875,0.22314453125,0.6201171875,0.72265625,0.68359375,0.63671875,0.61328125,0.2880859375
145.0,1.8203125,1.5859375,1.01953125,0.208984375,1.099609375,0.22314453125,0.6201171875,0.72265625,0.68359375,0.6845703125,0.5771484375,0.2880859375
150.0,1.8203125,1.5859375,1.01953125,0.208984375,0.97265625,0.22314453125,0.6201171875,0.72265625,0.65234375,0.501953125,0.541015625,0.2880859375
155.0,1.8203125,1.5859375,1.01953125,0.208984375,0.9765625,0.22314453125,0.6201171875,0.72265625,0.5966796875,0.470703125,0.52978515625,0.2880859375
160.0,1.8203125,1.5859375,1.01953125,0.208984375,0.91015625,0.22314453125,0.6201171875,0.78125,0.541015625,0.4765625,0.474609375,0.2880859375
165.0,1.8203125,1.5859375,1.01953125,0.208984375,0.85546875,0.22314453125,0.6201171875,0.716796875,0.453125,0.443359375,0.4599609375,0.2880859375
170.0,1.8203125,1.5859375,1.01953125,0.208984375,0.80078125,0.22314453125,0.6201171875,0.65234375,0.5595703125,0.392578125,0.4443359375,0.2880859375
175.0,1.8203125,1.4869791666666667,1.01953125,0.208984375,0.783203125,0.22314453125,0.6201171875,0.6396484375,0.5087890625,0.453125,0.42041015625,0.2880859375
180.0,1.8203125,1.3880208333333333,1.01953125,0.208984375,0.73046875,0.22314453125,0.6201171875,0.5673828125,0.4716796875,0.4013671875,0.396484375,0.2880859375
185.0,1.8203125,1.2890625,1.01953125,0.208984375,0.74609375,0.22314453125,0.6201171875,0.53125,0.4462890625,0.4072265625,0.3759765625,0.2880859375
190.0,1.8203125,1.1901041666666667,0.859375,0.208984375,0.5,0.22314453125,0.6201171875,0.501953125,0.4267578125,0.3837890625,0.36474609375,0.2880859375
195.0,1.75,1.0911458333333335,0.783203125,0.208984375,0.427734375,0.22314453125,0.6201171875,0.4755859375,0.36376953125,0.328125,0.369140625,0.2880859375
200.0,1.65625,0.9921875,0.6015625,0.208984375,0.38671875,0.22314453125,0.6201171875,0.4013671875,0.3427734375,0.326171875,0.3505859375,0.2880859375
205.0,1.5078125,0.837890625,0.55078125,0.208984375,0.5400390625,0.22314453125,0.6201171875,0.55810546875,0.3857421875,0.345703125,0.33349609375,0.2880859375
