strike,2021-04-16,2021-05-21,2021-07-16
0.5,1.0,1.0,1.25
1.0,1.0,1.25,1.25
1.5,1.75,1.375,1.5
2.0,1.75,1.625,1.25
2.5,1.75,1.875,1.5625
3.0,1.75,1.875,1.96875
3.5,1.75,1.875,1.875
