strike,2021-06-18
1.0,1.75
2.0,1.75
3.0,1.3125
4.0,0.875
5.0,0.5
6.0,0.5
7.0,0.5
8.0,0.5
9.0,0.5
10.0,0.5
11.0,0.5
12.0,0.5
13.0,0.5
14.0,0.5
15.0,0.5
16.0,0.5
17.0,0.5
18.0,0.5
19.0,0.5
