strike,2021-04-16,2021-05-21,2021-07-16
0.5,1.0,1.25,1.75
1.0,1.0,1.25,1.25
1.5,1.0,1.25,1.3333333333333333
2.0,1.0,1.25,1.4166666666666667
2.5,1.0,1.25,1.5
3.0,1.0,1.25,1.5
