strike,2021-05-21,2021-06-18,2021-08-20
3.5,0.8125,0.53125,0.78125
4.0,0.8125,0.53125,0.625
4.5,0.65625,0.6015625,0.9375
5.0,0.65625,0.671875,0.703125
5.5,0.75,0.7421875,0.71875
6.0,0.78125,0.8125,0.796875
7.0,0.90625,0.875,0.8125
8.0,1.0,0.90625,0.875
9.0,1.125,1.09375,0.90625
10.0,1.25,1.125,0.921875
11.0,1.375,1.1875,0.96875
12.0,1.0,1.1875,1.0
13.0,1.5,1.1875,1.09375
14.0,1.0,1.1875,1.03125
15.0,1.0,1.1875,1.0625
16.0,1.875,1.1875,1.125
17.0,1.9375,1.1875,1.125
18.0,1.9375,1.1875,1.3125
19.0,1.9375,1.1875,1.1875
20.0,1.9375,1.1875,1.0625
