strike,2021-05-21,2021-06-18,2021-08-20
3.5,0.75,0.84375,0.90625
4.0,0.75,0.84375,0.90625
4.5,0.78125,0.87890625,0.8125
5.0,0.8125,0.9140625,0.859375
5.5,0.875,0.94921875,0.96875
6.0,0.96875,0.984375,0.875
7.0,1.125,0.8125,0.6875
8.0,1.125,0.8125,1.0
9.0,1.125,0.8125,0.953125
10.0,1.125,0.8125,0.90625
11.0,1.125,0.8125,1.125
12.0,1.125,0.8125,1.140625
13.0,1.125,0.8125,1.15625
14.0,1.125,0.8125,1.15625
15.0,1.125,0.8125,1.15625
16.0,1.125,0.8125,1.15625
17.0,1.125,0.8125,1.15625
18.0,1.125,0.8125,1.15625
19.0,1.125,0.8125,1.15625
20.0,1.125,0.8125,1.15625
