strike,2021-04-16,2021-05-21,2021-08-20
1.0,1.0,1.25,0.96875
2.0,1.0,1.25,0.96875
3.0,1.0,1.25,0.96875
3.5,1.0,1.25,0.96875
4.0,1.0,0.9375,0.96875
4.5,1.125,0.8125,0.96875
5.0,1.25,0.90625,1.015625
5.5,1.125,0.90625,0.890625
6.0,1.0,0.9375,1.046875
7.0,1.375,1.03125,0.90625
8.0,1.375,0.875,1.3125
9.0,1.375,1.15625,1.0
10.0,1.375,1.4375,0.90625
11.0,1.375,1.4375,1.46875
12.0,1.375,1.4375,1.5234375
13.0,1.375,1.4375,1.578125
14.0,1.375,1.4375,1.109375
15.0,1.375,1.4375,1.3125
16.0,1.375,1.4375,1.3984375
17.0,1.375,1.4375,1.484375
18.0,1.375,1.4375,1.4609375
19.0,1.375,1.4375,1.4375
20.0,1.375,1.4375,1.4375
