contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,put_call,exp_date
BAC210305C00032000,2021-03-02 18:19:41,32.0,3.45,3.65,3.52,call,2021-03-05
BAC210305C00032500,2021-03-02 19:20:14,32.5,2.98,3.2,3.05,call,2021-03-05
BAC210305C00033000,2021-03-02 20:59:27,33.0,2.46,2.64,2.52,call,2021-03-05
BAC210305C00033500,2021-03-02 20:01:33,33.5,1.94,2.11,2.22,call,2021-03-05
BAC210305C00034000,2021-03-02 20:50:13,34.0,1.51,1.55,1.68,call,2021-03-05
BAC210305C00034500,2021-03-02 20:30:32,34.5,1.05,1.08,1.2,call,2021-03-05
BAC210305C00035000,2021-03-02 20:50:13,35.0,0.61,0.67,0.61,call,2021-03-05
BAC210305C00035500,2021-03-02 20:57:46,35.5,0.29,0.34,0.33,call,2021-03-05
BAC210305C00036000,2021-03-02 20:58:32,36.0,0.15,0.16,0.15,call,2021-03-05
BAC210305C00036500,2021-03-02 20:59:04,36.5,0.07,0.08,0.09,call,2021-03-05
BAC210305C00037000,2021-03-02 20:59:31,37.0,0.04,0.05,0.04,call,2021-03-05
BAC210305C00037500,2021-03-02 20:45:58,37.5,0.03,0.04,0.03,call,2021-03-05
BAC210305C00038000,2021-03-02 18:38:07,38.0,0.01,0.02,0.02,call,2021-03-05
BAC210305C00038500,2021-03-02 20:38:54,38.5,0.01,0.02,0.01,call,2021-03-05
BAC210305C00039000,2021-03-02 17:22:26,39.0,0.0,0.01,0.01,call,2021-03-05
BAC210305P00032000,2021-03-02 20:54:21,32.0,0.01,0.02,0.01,put,2021-03-05
BAC210305P00032500,2021-03-02 20:31:01,32.5,0.0,0.02,0.02,put,2021-03-05
BAC210305P00033000,2021-03-02 20:58:00,33.0,0.02,0.03,0.02,put,2021-03-05
BAC210305P00033500,2021-03-02 20:24:14,33.5,0.03,0.04,0.03,put,2021-03-05
BAC210305P00034000,2021-03-02 20:56:37,34.0,0.04,0.05,0.05,put,2021-03-05
BAC210305P00034500,2021-03-02 20:58:11,34.5,0.1,0.12,0.09,put,2021-03-05
BAC210305P00035000,2021-03-02 20:59:38,35.0,0.2,0.23,0.23,put,2021-03-05
BAC210305P00035500,2021-03-02 20:59:38,35.5,0.42,0.48,0.46,put,2021-03-05
BAC210305P00036000,2021-03-02 20:37:23,36.0,0.77,0.83,0.8,put,2021-03-05
BAC210305P00036500,2021-03-02 20:59:18,36.5,1.16,1.25,1.18,put,2021-03-05
BAC210305P00037000,2021-03-02 16:56:35,37.0,1.59,1.74,1.68,put,2021-03-05
BAC210305P00037500,2021-03-01 19:07:38,37.5,2.06,2.42,1.8,put,2021-03-05
BAC210305P00038000,2021-03-01 18:33:18,38.0,2.55,2.9,2.35,put,2021-03-05
BAC210305P00038500,2021-03-01 18:31:35,38.5,3.1,3.25,2.8,put,2021-03-05
BAC210305P00039000,2021-03-02 14:37:56,39.0,3.5,3.75,3.35,put,2021-03-05
BAC210312C00032000,2021-03-02 19:25:11,32.0,3.45,3.65,3.62,call,2021-03-12
BAC210312C00032500,2021-03-02 16:52:57,32.5,2.97,3.15,3.1,call,2021-03-12
BAC210312C00033000,2021-03-02 20:54:40,33.0,2.49,2.63,2.66,call,2021-03-12
BAC210312C00033500,2021-03-02 19:47:18,33.5,1.9,2.18,2.23,call,2021-03-12
BAC210312C00034000,2021-03-02 19:47:18,34.0,1.46,1.65,1.79,call,2021-03-12
BAC210312C00034500,2021-03-02 18:15:54,34.5,1.2,1.28,1.33,call,2021-03-12
BAC210312C00035000,2021-03-02 20:40:52,35.0,0.86,0.91,0.95,call,2021-03-12
BAC210312C00035500,2021-03-02 20:53:24,35.5,0.6,0.65,0.63,call,2021-03-12
BAC210312C00036000,2021-03-02 20:59:14,36.0,0.41,0.44,0.45,call,2021-03-12
BAC210312C00036500,2021-03-02 20:58:48,36.5,0.28,0.29,0.28,call,2021-03-12
BAC210312C00037000,2021-03-02 20:58:50,37.0,0.17,0.19,0.19,call,2021-03-12
BAC210312C00038000,2021-03-02 20:59:43,38.0,0.07,0.08,0.08,call,2021-03-12
BAC210312C00038500,2021-03-02 18:48:52,38.5,0.04,0.06,0.04,call,2021-03-12
BAC210312P00032000,2021-03-02 20:04:16,32.0,0.04,0.06,0.05,put,2021-03-12
BAC210312P00032500,2021-03-02 16:45:24,32.5,0.06,0.08,0.06,put,2021-03-12
BAC210312P00033000,2021-03-02 20:57:05,33.0,0.1,0.12,0.1,put,2021-03-12
BAC210312P00033500,2021-03-02 16:38:43,33.5,0.14,0.17,0.15,put,2021-03-12
BAC210312P00034000,2021-03-02 19:10:15,34.0,0.24,0.26,0.22,put,2021-03-12
BAC210312P00034500,2021-03-02 20:31:01,34.5,0.34,0.38,0.36,put,2021-03-12
BAC210312P00035000,2021-03-02 20:48:53,35.0,0.51,0.55,0.49,put,2021-03-12
BAC210312P00035500,2021-03-02 20:43:03,35.5,0.74,0.8,0.75,put,2021-03-12
BAC210312P00036000,2021-03-02 19:35:38,36.0,1.03,1.1,0.97,put,2021-03-12
BAC210312P00036500,2021-03-02 19:42:11,36.5,1.36,1.46,1.3,put,2021-03-12
BAC210312P00037000,2021-03-02 18:27:43,37.0,1.79,1.86,1.71,put,2021-03-12
BAC210312P00038000,2021-03-01 18:50:11,38.0,2.62,2.79,2.59,put,2021-03-12
BAC210312P00038500,2021-03-02 16:54:13,38.5,3.05,3.25,3.16,put,2021-03-12
BAC210319C00032000,2021-03-02 20:58:46,32.0,3.5,3.65,3.6,call,2021-03-19
BAC210319C00032500,2021-03-02 18:20:19,32.5,3.0,3.15,3.21,call,2021-03-19
BAC210319C00033000,2021-03-02 20:59:27,33.0,2.58,2.64,2.6,call,2021-03-19
BAC210319C00033500,2021-03-02 20:59:27,33.5,2.15,2.25,2.2,call,2021-03-19
BAC210319C00034000,2021-03-02 20:59:27,34.0,1.76,1.86,1.81,call,2021-03-19
BAC210319C00034500,2021-03-02 18:14:11,34.5,1.41,1.47,1.52,call,2021-03-19
BAC210319C00035000,2021-03-02 20:57:41,35.0,1.11,1.16,1.19,call,2021-03-19
BAC210319C00035500,2021-03-02 20:59:38,35.5,0.87,0.9,0.88,call,2021-03-19
BAC210319C00036000,2021-03-02 20:57:07,36.0,0.64,0.69,0.7,call,2021-03-19
BAC210319C00036500,2021-03-02 20:04:58,36.5,0.48,0.52,0.53,call,2021-03-19
BAC210319C00037000,2021-03-02 20:47:02,37.0,0.35,0.38,0.38,call,2021-03-19
BAC210319C00037500,2021-03-02 20:56:15,37.5,0.25,0.28,0.28,call,2021-03-19
