strike,2021-05-21,2021-06-18,2021-07-16,2021-10-15
0.5,1.75,1.75,1.5,1.375
1.0,1.0,1.75,1.75,1.375
1.5,1.875,1.75,1.75,1.5625
2.0,1.875,1.75,1.75,1.75
2.5,1.875,1.75,1.75,1.4375
3.0,1.875,1.75,1.75,1.4375
3.5,1.875,1.75,1.75,1.4375
