contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
GE210312C00012500,2021-03-05 20:59:20,12.5,1.15,1.19,1.17,call,2021-03-12,0.019178082191780823,0.5419921875
GE210312C00013000,2021-03-05 20:58:23,13.0,0.73,0.75,0.74,call,2021-03-12,0.019178082191780823,0.498046875
GE210312C00013500,2021-03-05 20:57:42,13.5,0.4,0.42,0.41,call,2021-03-12,0.019178082191780823,0.47119140625
GE210312C00014000,2021-03-05 20:59:20,14.0,0.19,0.21,0.21,call,2021-03-12,0.019178082191780823,0.48095703125
GE210312C00014500,2021-03-05 20:58:56,14.5,0.09,0.11,0.1,call,2021-03-12,0.019178082191780823,0.5029296875
GE210312P00012500,2021-03-05 20:59:45,12.5,0.06,0.07,0.07,put,2021-03-12,0.019178082191780823,0.556640625
GE210312P00013000,2021-03-05 20:59:23,13.0,0.14,0.15,0.14,put,2021-03-12,0.019178082191780823,0.5126953125
GE210312P00013500,2021-03-05 20:59:33,13.5,0.3,0.32,0.31,put,2021-03-12,0.019178082191780823,0.48095703125
GE210312P00014000,2021-03-05 20:56:23,14.0,0.58,0.62,0.61,put,2021-03-12,0.019178082191780823,0.49072265625
GE210312P00014500,2021-03-05 20:03:34,14.5,0.97,1.06,1.07,put,2021-03-12,0.019178082191780823,0.65185546875
GE210319C00012500,2021-03-05 20:40:16,12.5,1.23,1.28,1.25,call,2021-03-19,0.038356164383561646,0.49560546875
GE210319C00013000,2021-03-05 20:59:12,13.0,0.84,0.88,0.85,call,2021-03-19,0.038356164383561646,0.46142578125
GE210319C00013500,2021-03-05 20:57:43,13.5,0.53,0.56,0.54,call,2021-03-19,0.038356164383561646,0.455322265625
GE210319C00014000,2021-03-05 20:59:49,14.0,0.32,0.33,0.33,call,2021-03-19,0.038356164383561646,0.45166015625
GE210319C00014500,2021-03-05 20:54:35,14.5,0.18,0.2,0.2,call,2021-03-19,0.038356164383561646,0.4931640625
GE210319P00012500,2021-03-05 20:56:31,12.5,0.13,0.15,0.13,put,2021-03-19,0.038356164383561646,0.48583984375
GE210319P00013000,2021-03-05 20:50:00,13.0,0.24,0.26,0.25,put,2021-03-19,0.038356164383561646,0.4736328125
GE210319P00013500,2021-03-05 20:57:32,13.5,0.44,0.46,0.44,put,2021-03-19,0.038356164383561646,0.46875
GE210319P00014000,2021-03-05 19:37:58,14.0,0.71,0.74,0.79,put,2021-03-19,0.038356164383561646,0.5224609375
GE210319P00014500,2021-03-05 19:48:48,14.5,1.07,1.12,1.14,put,2021-03-19,0.038356164383561646,0.54931640625
GE210326C00012500,2021-03-05 20:59:13,12.5,1.3,1.32,1.31,call,2021-03-26,0.057534246575342465,0.4736328125
GE210326C00013000,2021-03-05 20:30:01,13.0,0.93,0.97,0.96,call,2021-03-26,0.057534246575342465,0.46142578125
GE210326C00013500,2021-03-05 20:52:25,13.5,0.64,0.67,0.66,call,2021-03-26,0.057534246575342465,0.4638671875
GE210326C00014000,2021-03-05 20:58:43,14.0,0.42,0.45,0.42,call,2021-03-26,0.057534246575342465,0.43701171875
GE210326C00014500,2021-03-05 20:45:57,14.5,0.26,0.29,0.26,call,2021-03-26,0.057534246575342465,0.452880859375
GE210326P00012500,2021-03-05 18:03:06,12.5,0.2,0.21,0.27,put,2021-03-26,0.057534246575342465,0.56640625
GE210326P00013000,2021-03-05 20:58:53,13.0,0.34,0.36,0.33,put,2021-03-26,0.057534246575342465,0.4541015625
GE210326P00013500,2021-03-05 20:52:49,13.5,0.53,0.56,0.54,put,2021-03-26,0.057534246575342465,0.4638671875
GE210326P00014000,2021-03-05 20:58:19,14.0,0.81,0.84,0.82,put,2021-03-26,0.057534246575342465,0.45166015625
GE210326P00014500,2021-03-04 18:07:54,14.5,1.15,1.19,1.14,put,2021-03-26,0.057534246575342465,0.452880859375
GE210401C00012500,2021-03-05 20:50:00,12.5,1.33,1.43,1.35,call,2021-04-01,0.07397260273972603,0.45654296875
