strike,2021-05-21,2021-06-18,2021-08-20,2021-11-19
1.0,1.0,1.90625,0.9375,1.5
2.0,1.0,1.90625,0.9375,1.5
3.0,1.0,1.90625,0.9375,1.5
3.5,1.0,1.90625,0.9375,1.046875
4.0,1.0,1.90625,1.59375,0.59375
4.5,1.125,1.171875,1.375,0.5
5.0,1.25,0.4375,0.53125,0.40625
5.5,0.75,0.546875,0.46875,0.484375
6.0,0.625,0.65625,0.59375,0.5625
7.0,0.9375,0.6875,0.640625,0.59375
8.0,1.25,0.8125,0.703125,0.625
9.0,1.75,0.9375,0.71875,0.703125
10.0,1.75,1.3125,0.78125,0.703125
11.0,1.75,1.125,0.8125,0.734375
12.0,1.75,1.25,0.875,0.921875
13.0,1.75,1.25,0.9375,1.2578125
14.0,1.75,1.25,0.875,0.9375
15.0,1.75,1.25,1.03125,0.96875
16.0,1.75,1.25,1.0625,0.953125
17.0,1.75,1.25,1.15625,0.953125
18.0,1.75,1.25,1.125,0.953125
19.0,1.75,1.25,1.28125,0.953125
20.0,1.75,1.25,1.0,0.953125
