strike,2021-04-16,2021-05-21,2021-08-20
1.0,1.0,0.875,1.0
2.0,1.0,0.875,1.0
3.0,1.0,0.875,1.0
3.5,1.0,0.875,1.0
4.0,1.0,0.9375,1.0
4.5,1.0,0.8125,0.96875
5.0,1.0,0.90625,0.984375
5.5,1.0625,0.84375,0.984375
6.0,1.125,0.84375,1.03125
7.0,1.0,0.9375,0.953125
8.0,1.0,1.125,1.296875
9.0,1.0,1.0,0.9375
10.0,1.0,1.0,0.84375
11.0,1.0,1.1875,1.453125
12.0,1.0,1.2734375,1.515625
13.0,1.0,1.359375,1.578125
14.0,1.0,1.4453125,1.03125
15.0,1.0,1.53125,1.28125
16.0,1.0,1.6171875,1.3671875
17.0,1.0,1.703125,1.453125
18.0,1.0,1.7890625,1.3984375
19.0,1.0,1.875,1.34375
20.0,1.0,1.875,1.34375
