strike,2021-04-16,2021-05-21,2021-08-20
1.0,1.0,1.1875,0.984375
2.0,1.0,1.1875,0.984375
3.0,1.0,1.1875,0.984375
3.5,1.0,1.1875,0.984375
4.0,1.0,1.1875,0.75
4.5,1.0,0.9375,0.796875
5.0,1.0,0.75,0.71875
5.5,1.0,0.75,0.796875
6.0,1.0,0.734375,0.796875
7.0,1.5,0.8125,0.828125
8.0,1.5,0.9375,0.875
9.0,1.5,1.0625,0.890625
10.0,1.5,1.0,0.9375
11.0,1.5,1.1875,0.96875
12.0,1.5,1.25,0.96875
13.0,1.5,1.25,1.015625
14.0,1.5,1.5625,1.09375
15.0,1.5,1.375,1.0625
16.0,1.5,1.5,1.3125
17.0,1.5,1.625,1.09375
18.0,1.5,1.6875,1.1875
19.0,1.5,1.75,1.28125
20.0,1.5,1.75,1.1875
