strike,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-18,2021-09-17
0.5,1.875,1.125,0.5,1.0,1.0,1.0,0.5
1.0,1.875,1.125,0.5,1.0,1.0,1.0,0.5
2.0,1.875,1.125,0.5,1.0,1.0,1.0,0.5
2.5,1.875,1.125,0.5,1.0,1.0,1.0625,0.9375
3.0,1.875,1.125,0.5,1.0,1.0,1.125,1.375
3.5,1.875,1.125,0.5,1.109375,1.0,1.203125,1.3671875
4.0,1.875,1.125,0.875,1.21875,1.25,1.28125,1.359375
4.5,1.875,1.28125,1.34375,1.375,1.28125,1.375,1.4375
5.0,1.875,1.4375,1.5,1.53125,1.375,1.46875,1.515625
5.5,1.875,1.53125,1.53125,1.59375,1.53125,1.53125,1.5546875
6.0,1.875,1.6875,1.6875,1.65625,1.65625,1.59375,1.59375
6.5,1.875,1.6875,1.75,1.734375,1.625,1.65625,1.609375
7.0,1.9375,1.84375,1.75,1.8125,1.78125,1.71875,1.625
7.5,1.9375,1.96875,1.90625,1.859375,1.6875,1.7734375,1.6640625
8.0,1.9375,1.96875,1.96875,1.90625,1.84375,1.828125,1.703125
8.5,1.9375,1.96875,1.875,1.90625,1.84375,1.8515625,1.734375
9.0,1.9375,1.96875,1.90625,1.90625,1.875,1.875,1.765625
9.5,1.9375,1.96875,1.90625,1.90625,1.8125,1.93359375,1.7734375
10.0,1.9375,1.96875,1.90625,1.90625,1.8125,1.9921875,1.78125
10.5,1.9375,1.96875,1.90625,1.90625,1.8125,1.9921875,1.75
11.0,1.9375,1.96875,1.90625,1.90625,1.8125,1.9921875,1.71875
11.5,1.9375,1.96875,1.90625,1.90625,1.8125,1.9921875,1.7890625
12.0,1.9375,1.96875,1.90625,1.90625,1.8125,1.9921875,1.859375
12.5,1.9375,1.96875,1.90625,1.90625,1.8125,1.9921875,1.875
13.0,1.9375,1.96875,1.90625,1.90625,1.8125,1.9921875,1.890625
13.5,1.9375,1.96875,1.90625,1.90625,1.8125,1.9921875,1.8671875
14.0,1.9375,1.96875,1.90625,1.90625,1.8125,1.9921875,1.84375
14.5,1.9375,1.96875,1.90625,1.90625,1.8125,1.9921875,1.890625
15.0,1.9375,1.96875,1.90625,1.90625,1.8125,1.9921875,1.9375
15.5,1.9375,1.96875,1.90625,1.90625,1.8125,1.9921875,1.9140625
16.0,1.9375,1.96875,1.90625,1.90625,1.8125,1.9921875,1.890625
17.0,1.9375,1.96875,1.90625,1.90625,1.8125,1.9921875,1.90625
18.0,1.9375,1.96875,1.90625,1.90625,1.8125,1.9921875,1.90625
19.0,1.9375,1.96875,1.90625,1.90625,1.8125,1.9921875,1.90625
