strike,2021-05-21,2021-06-18,2021-08-20
3.0,0.375,0.375,0.40625
3.5,0.375,0.375,0.40625
4.0,0.375,0.375,0.40625
4.5,0.375,0.375,0.40625
5.0,0.375,0.375,0.59375
5.5,0.375,0.515625,0.5625
6.0,0.59375,0.65625,0.734375
7.0,0.71875,0.75,0.8125
8.0,0.875,0.84375,0.734375
9.0,1.0,0.875,0.8125
10.0,1.125,1.0,0.84375
11.0,1.25,1.0625,0.875
12.0,1.25,1.125,0.90625
13.0,1.5,1.125,0.9375
14.0,1.5,1.125,0.9375
15.0,1.0,1.125,1.0
16.0,1.75,1.125,1.03125
17.0,1.9375,1.125,0.5
18.0,1.9375,1.125,1.21875
19.0,1.9375,1.125,1.125
20.0,1.9375,1.125,1.0625
