strike,2021-06-18,2021-07-16,2021-09-17
90.0,1.4609375,0.95703125,0.822265625
95.0,1.390625,0.95703125,0.822265625
100.0,1.3359375,0.95703125,0.822265625
105.0,1.3515625,0.95703125,0.822265625
110.0,1.265625,0.95703125,0.783203125
115.0,1.296875,0.95703125,0.73828125
120.0,1.25390625,0.95703125,0.70703125
125.0,1.234375,0.95703125,0.697265625
130.0,1.16796875,0.95703125,0.728515625
135.0,1.19140625,0.95703125,0.72265625
140.0,1.173828125,0.95703125,0.71484375
145.0,1.162109375,0.95703125,0.673828125
150.0,1.1640625,0.95703125,0.638671875
155.0,1.1337890625,0.95703125,0.689453125
160.0,1.1328125,0.95703125,0.6904296875
165.0,1.11328125,0.95703125,0.67822265625
170.0,1.1328125,0.95703125,0.68896484375
175.0,1.15625,0.95703125,0.6796875
180.0,1.1572265625,0.95703125,0.7001953125
185.0,1.154296875,0.95703125,0.6708984375
190.0,1.1703125,0.95703125,0.7119140625
195.0,1.186328125,0.95703125,0.63134765625
200.0,1.20234375,0.95703125,0.734375
210.0,1.218359375,0.95703125,0.62548828125
215.0,1.234375,1.00146484375,0.72265625
220.0,1.26220703125,0.97119140625,0.728515625
225.0,1.2412109375,0.9853515625,0.63720703125
230.0,1.2666015625,0.84521484375,0.623291015625
235.0,1.0498046875,1.0380859375,0.680419921875
240.0,1.0517578125,0.8388671875,0.81787109375
245.0,1.39501953125,0.8447265625,0.890625
250.0,1.109375,0.90185546875,0.644287109375
255.0,1.65673828125,1.27685546875,0.70458984375
260.0,1.1171875,1.21826171875,0.71044921875
265.0,1.43701171875,1.15966796875,0.70751953125
270.0,1.43359375,1.1134440104166667,0.7516276041666666
275.0,1.18408203125,1.0672200520833333,0.7957356770833334
280.0,1.89306640625,1.02099609375,0.83984375
285.0,1.8271484375,1.34619140625,0.91455078125
290.0,1.89697265625,1.2548828125,1.0048828125
295.0,1.91064453125,1.259765625,0.81103515625
300.0,1.91064453125,1.62451171875,1.1142578125
310.0,1.91064453125,1.16455078125,0.815673828125
320.0,1.91064453125,1.448486328125,0.8623046875
