strike,2021-06-18,2021-07-16,2021-09-17
90.0,0.1708984375,0.1484375,0.1005859375
95.0,0.1708984375,0.1484375,0.1005859375
100.0,0.1708984375,0.1484375,0.1005859375
105.0,0.1708984375,0.1484375,0.1005859375
110.0,0.1708984375,0.1484375,0.1005859375
115.0,0.1708984375,0.1484375,0.1005859375
120.0,0.1708984375,0.1484375,0.1005859375
125.0,0.1708984375,0.1484375,0.1005859375
130.0,0.1708984375,0.1484375,0.1005859375
135.0,0.1708984375,0.1484375,0.1005859375
140.0,0.1708984375,0.1484375,0.1005859375
145.0,0.1708984375,0.1484375,0.1005859375
150.0,0.1708984375,0.1484375,0.1005859375
155.0,0.1708984375,0.1484375,0.1005859375
160.0,0.1708984375,0.1484375,0.1005859375
165.0,0.1708984375,0.1484375,0.1005859375
170.0,0.1708984375,0.1484375,0.1005859375
175.0,0.1708984375,0.1484375,0.1005859375
180.0,0.1708984375,0.1484375,0.1005859375
185.0,0.1708984375,0.1484375,0.1005859375
190.0,0.1708984375,0.1484375,0.1005859375
195.0,0.1708984375,0.1484375,0.1005859375
200.0,0.1708984375,0.1484375,0.1005859375
210.0,0.1708984375,0.1484375,0.1005859375
215.0,0.1708984375,0.1484375,0.1005859375
220.0,0.1708984375,0.1484375,0.1005859375
225.0,0.1708984375,0.1484375,0.1005859375
230.0,0.1708984375,0.1484375,0.1005859375
235.0,0.1708984375,0.1484375,0.1005859375
240.0,0.1708984375,0.1484375,0.13720703125
245.0,0.22265625,0.18994140625,0.17724609375
250.0,0.26123046875,0.22314453125,0.183837890625
255.0,0.291015625,0.30615234375,0.20751953125
260.0,0.3154296875,0.267578125,0.220947265625
265.0,0.3466796875,0.27880859375,0.23046875
270.0,0.3564453125,0.29248046875,0.24267578125
275.0,0.3837890625,0.3115234375,0.24560546875
280.0,0.3876953125,0.31640625,0.290283203125
285.0,0.48828125,0.39697265625,0.309814453125
290.0,0.486328125,0.33447265625,0.287109375
295.0,0.4716796875,0.34765625,0.2783203125
300.0,0.458984375,0.3662109375,0.30078125
310.0,0.478515625,0.380859375,0.30615234375
320.0,0.5078125,0.392578125,0.31640625
