strike,2021-05-21,2021-06-18,2021-08-20
3.0,0.46875,0.4375,0.46875
3.5,0.46875,0.4375,0.46875
4.0,0.46875,0.4375,0.46875
4.5,0.46875,0.4375,0.46875
5.0,0.46875,0.4375,0.515625
5.5,0.46875,0.53125,0.65625
6.0,0.5625,0.625,0.640625
7.0,0.75,0.75,0.71875
8.0,0.875,0.8125,0.765625
9.0,1.125,0.875,0.796875
10.0,1.25,0.9375,0.84375
11.0,1.25,1.125,0.90625
12.0,1.375,1.0625,0.90625
13.0,1.5,1.0625,0.90625
14.0,1.5,1.0625,0.9375
15.0,1.75,1.0625,1.03125
16.0,1.875,1.0625,1.0625
17.0,1.875,1.0625,0.5
18.0,1.875,1.0625,1.25
19.0,1.875,1.0625,1.125
20.0,1.875,1.0625,1.0625
