strike,2021-05-21,2021-06-18,2021-08-20
3.0,1.25,1.25,0.90625
3.5,1.25,1.046875,0.90625
4.0,0.5,0.84375,0.90625
4.5,0.875,0.90625,0.953125
5.0,0.90625,0.96875,0.953125
5.5,0.8125,1.015625,0.984375
6.0,1.03125,1.0625,1.046875
7.0,1.4375,1.03125,1.03125
8.0,1.40625,1.15625,1.21875
9.0,1.9375,0.90625,1.21875
10.0,1.71875,0.90625,1.46875
11.0,1.5,0.90625,1.53125
12.0,1.5,0.90625,1.59375
13.0,1.5,0.90625,1.65625
14.0,1.5,0.90625,1.09375
15.0,1.5,0.90625,1.34375
16.0,1.5,0.90625,1.5
17.0,1.5,0.90625,1.65625
18.0,1.5,0.90625,1.7109375
19.0,1.5,0.90625,1.765625
20.0,1.5,0.90625,1.765625
