strike,2021-05-21,2021-08-20
1.0,0.875,0.9375
2.0,0.875,0.9375
3.0,0.875,0.9375
3.5,0.875,0.9375
4.0,0.8125,0.9375
4.5,0.875,0.984375
5.0,0.84375,0.921875
5.5,0.875,1.0625
6.0,0.9375,0.96875
7.0,1.0625,0.84375
8.0,1.1875,1.171875
9.0,1.4375,0.71875
10.0,1.5625,1.15625
11.0,1.6875,1.328125
12.0,1.8125,1.3515625
13.0,1.8125,1.375
14.0,1.8125,1.125
15.0,1.8125,0.875
16.0,1.8125,1.0
17.0,1.8125,1.125
18.0,1.8125,1.125
19.0,1.8125,1.125
20.0,1.8125,1.125
