strike,2021-05-21,2021-08-20
1.0,1.40625,1.28125
2.0,1.40625,1.28125
3.0,1.40625,1.28125
3.5,1.40625,1.28125
4.0,1.40625,0.625
4.5,1.40625,0.734375
5.0,0.59375,0.765625
5.5,0.75,0.703125
6.0,0.765625,0.78125
7.0,0.84375,0.859375
8.0,1.0,0.890625
9.0,1.125,0.9375
10.0,1.125,0.9375
11.0,1.25,1.03125
12.0,1.5,1.0
13.0,1.5,1.03125
14.0,1.0,1.09375
15.0,1.5,1.15625
16.0,1.625,1.125
17.0,1.75,1.15625
18.0,1.8125,1.21875
19.0,1.875,1.125
20.0,1.75,1.3125
