strike,2021-04-16,2021-05-21,2021-08-20
1.0,1.0,1.125,1.03125
2.0,1.0,1.125,1.03125
3.0,1.0,1.125,1.03125
3.5,1.0,1.125,1.03125
4.0,1.0,1.0625,1.03125
4.5,1.0625,1.0,1.09375
5.0,1.125,0.9375,1.0625
5.5,0.984375,0.96875,1.03125
6.0,0.84375,1.03125,1.109375
7.0,1.0,0.984375,1.1875
8.0,1.78125,1.28125,1.46875
9.0,1.78125,0.6875,1.265625
10.0,1.78125,1.3125,1.21875
11.0,1.78125,1.28125,1.71875
12.0,1.78125,1.40625,1.765625
13.0,1.78125,1.421875,1.8125
14.0,1.78125,1.4375,1.515625
15.0,1.78125,1.4375,1.125
16.0,1.78125,1.4375,1.125
17.0,1.78125,1.4375,1.125
18.0,1.78125,1.4375,1.125
19.0,1.78125,1.4375,1.125
20.0,1.78125,1.4375,1.125
