strike,2021-04-16,2021-05-21,2021-08-20
1.0,1.0,1.125,1.0
2.0,1.0,1.125,1.0
3.0,1.0,1.125,1.0
3.5,1.0,1.125,1.0
4.0,1.0,1.0625,1.0
4.5,1.03125,0.9375,1.0625
5.0,1.0625,0.90625,1.0625
5.5,0.96875,1.09375,1.09375
6.0,0.875,0.96875,1.1875
7.0,1.0,1.140625,1.3125
8.0,1.0,1.3125,1.4296875
9.0,1.4375,0.5,1.28125
10.0,1.875,1.40625,1.171875
11.0,1.9375,1.125,1.671875
12.0,1.875,1.25,1.7109375
13.0,1.875,1.25,1.75
14.0,1.875,1.25,1.46875
15.0,1.875,1.25,1.0625
16.0,1.875,1.25,1.0625
17.0,1.875,1.25,1.0625
18.0,1.875,1.25,1.0625
19.0,1.875,1.25,1.0625
20.0,1.875,1.25,1.0625
