strike,2021-04-16,2021-05-21,2021-08-20
2.0,0.5,0.75,1.328125
3.0,0.5,0.75,1.328125
3.5,0.5,0.75,1.328125
4.0,0.5,0.75,0.6875
4.5,0.5,0.75,0.78125
5.0,0.5,0.75,0.84375
5.5,0.6875,0.78125,0.84375
6.0,0.875,0.828125,0.84375
7.0,1.03125,0.953125,0.875
8.0,1.0625,0.984375,0.984375
9.0,1.1875,1.0625,1.09375
10.0,1.3125,1.0625,1.03125
11.0,1.4375,1.1875,1.0859375
12.0,1.5,1.21875,1.125
13.0,1.5,1.1875,1.109375
14.0,1.875,1.53125,1.171875
15.0,1.875,1.3125,1.1875
16.0,1.4375,1.4375,1.125
17.0,1.0,1.4375,1.265625
18.0,1.0,1.625,1.421875
19.0,1.0,1.0,1.265625
20.0,1.0,1.5,1.1875
