strike,2021-05-21,2021-06-18,2021-08-20
3.5,0.875,0.6875,0.5625
4.0,0.875,0.6875,0.5625
4.5,0.6875,0.6875,0.59375
5.0,0.625,0.6875,0.6875
5.5,0.65625,0.7265625,0.765625
6.0,0.6875,0.765625,0.765625
7.0,0.8125,0.84375,0.78125
8.0,0.9375,0.875,0.828125
9.0,1.0625,0.9375,0.84375
10.0,1.1875,1.0,0.875
11.0,1.25,1.125,0.875
12.0,1.0,1.09375,0.9375
13.0,1.0,1.09375,0.9375
14.0,1.0,1.09375,0.9375
15.0,1.0,1.09375,0.96875
16.0,1.75,1.09375,1.03125
17.0,1.875,1.09375,1.0625
18.0,1.875,1.09375,1.21875
19.0,1.875,1.09375,1.125
20.0,1.875,1.09375,1.125
