strike,2021-05-21,2021-06-18,2021-08-20
3.5,1.0,1.0,1.0
4.0,0.875,1.0,1.0
4.5,0.8125,1.078125,0.953125
5.0,0.78125,1.15625,0.90625
5.5,0.75,1.234375,1.125
6.0,0.84375,1.3125,1.015625
7.0,1.0625,1.21875,0.9375
8.0,1.84375,1.21875,1.25
9.0,1.78125,1.21875,0.90625
10.0,1.78125,1.21875,1.375
11.0,1.78125,1.21875,1.453125
12.0,1.78125,1.21875,1.5078125
13.0,1.78125,1.21875,1.5625
14.0,1.78125,1.21875,0.875
15.0,1.78125,1.21875,1.21875
16.0,1.78125,1.21875,1.3125
17.0,1.78125,1.21875,1.40625
18.0,1.78125,1.21875,1.328125
19.0,1.78125,1.21875,1.25
20.0,1.78125,1.21875,1.25
