strike,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-06-30,2021-07-16,2021-08-20,2021-09-17,2021-09-30,2021-11-19,2021-12-17,2021-12-31
130.0,0.453125,0.53125,0.337890625,0.375,0.37890625,0.4765625,0.2861328125,0.4609375,0.388671875,0.2958984375,0.357421875,0.4052734375,0.43359375,0.4638671875,0.3037109375
133.0,0.453125,0.53125,0.337890625,0.375,0.37890625,0.4765625,0.2861328125,0.4609375,0.388671875,0.2958984375,0.357421875,0.4052734375,0.4130859375,0.4638671875,0.3037109375
134.0,0.453125,0.53125,0.337890625,0.375,0.37890625,0.4765625,0.2861328125,0.4609375,0.388671875,0.2958984375,0.357421875,0.4052734375,0.427734375,0.4638671875,0.3037109375
140.0,0.453125,0.53125,0.337890625,0.375,0.37890625,0.4765625,0.2861328125,0.4609375,0.388671875,0.2958984375,0.357421875,0.4052734375,0.4423828125,0.4638671875,0.3037109375
145.0,0.453125,0.53125,0.337890625,0.375,0.37890625,0.4765625,0.2861328125,0.4609375,0.388671875,0.2958984375,0.357421875,0.4052734375,0.3916015625,0.4638671875,0.3037109375
149.0,0.453125,0.53125,0.337890625,0.375,0.37890625,0.4765625,0.2861328125,0.4609375,0.388671875,0.2958984375,0.357421875,0.4052734375,0.41259765625,0.4638671875,0.3037109375
150.0,0.453125,0.53125,0.337890625,0.375,0.37890625,0.4765625,0.2861328125,0.4609375,0.388671875,0.2958984375,0.357421875,0.4052734375,0.43359375,0.36669921875,0.3037109375
151.0,0.453125,0.53125,0.337890625,0.375,0.37890625,0.4765625,0.2861328125,0.4609375,0.388671875,0.2958984375,0.357421875,0.4052734375,0.422265625,0.4609375,0.3037109375
152.0,0.453125,0.53125,0.337890625,0.375,0.37890625,0.4765625,0.2861328125,0.4609375,0.388671875,0.2958984375,0.357421875,0.4052734375,0.4109375,0.4150390625,0.3037109375
153.0,0.453125,0.53125,0.337890625,0.375,0.37890625,0.4765625,0.2861328125,0.4609375,0.388671875,0.2958984375,0.357421875,0.4052734375,0.399609375,0.45703125,0.3037109375
154.0,0.453125,0.53125,0.337890625,0.375,0.37890625,0.4765625,0.2861328125,0.4609375,0.388671875,0.2958984375,0.357421875,0.4052734375,0.38828125,0.45458984375,0.3037109375
155.0,0.453125,0.53125,0.337890625,0.375,0.37890625,0.4765625,0.2861328125,0.4609375,0.388671875,0.2958984375,0.357421875,0.4052734375,0.376953125,0.392578125,0.3037109375
158.0,0.453125,0.53125,0.337890625,0.375,0.37890625,0.4765625,0.2861328125,0.4609375,0.388671875,0.2958984375,0.357421875,0.4052734375,0.362548828125,0.365234375,0.3037109375
160.0,0.453125,0.53125,0.337890625,0.375,0.37890625,0.4765625,0.2861328125,0.4609375,0.388671875,0.2958984375,0.357421875,0.4052734375,0.34814453125,0.3349609375,0.3037109375
161.0,0.453125,0.53125,0.337890625,0.375,0.37890625,0.4765625,0.2861328125,0.4609375,0.388671875,0.2958984375,0.357421875,0.4052734375,0.3466796875,0.480224609375,0.3037109375
162.0,0.453125,0.53125,0.337890625,0.375,0.37890625,0.4765625,0.2861328125,0.4609375,0.388671875,0.2958984375,0.357421875,0.4052734375,0.34521484375,0.478515625,0.3037109375
163.0,0.453125,0.53125,0.337890625,0.375,0.37890625,0.4765625,0.2861328125,0.44921875,0.388671875,0.2958984375,0.357421875,0.4052734375,0.34375,0.47607421875,0.3037109375
164.0,0.453125,0.53125,0.337890625,0.375,0.37890625,0.453125,0.2861328125,0.44921875,0.388671875,0.2958984375,0.357421875,0.4052734375,0.34228515625,0.473388671875,0.3037109375
165.0,0.453125,0.53125,0.337890625,0.375,0.37890625,0.43359375,0.2861328125,0.421875,0.388671875,0.2958984375,0.357421875,0.4052734375,0.3408203125,0.3388671875,0.3037109375
166.0,0.453125,0.53125,0.337890625,0.375,0.37890625,0.4375,0.2861328125,0.44140625,0.3916015625,0.2958984375,0.3701171875,0.4052734375,0.33857421875,0.3837890625,0.3037109375
167.0,0.453125,0.53125,0.337890625,0.375,0.37890625,0.421875,0.2861328125,0.435546875,0.39453125,0.2958984375,0.404296875,0.4052734375,0.336328125,0.31884765625,0.3037109375
168.0,0.453125,0.53125,0.337890625,0.375,0.37890625,0.4140625,0.2861328125,0.412109375,0.396484375,0.2958984375,0.439453125,0.4052734375,0.33408203125,0.34521484375,0.3037109375
169.0,0.453125,0.53125,0.337890625,0.375,0.37890625,0.4375,0.2861328125,0.41015625,0.388671875,0.2958984375,0.3818359375,0.4052734375,0.3318359375,0.4560546875,0.3037109375
