strike,2021-04-16,2021-05-21,2021-08-20
2.0,0.5,0.6875,0.84375
3.0,0.5,0.6875,0.84375
3.5,0.5,0.6875,0.84375
4.0,0.5,0.6875,0.5
4.5,0.5625,0.6875,0.8125
5.0,0.625,0.6875,1.046875
5.5,0.6875,0.875,0.9375
6.0,0.75,0.96875,0.90625
7.0,0.78125,0.875,0.9140625
8.0,1.0,0.953125,0.984375
9.0,0.9375,0.953125,1.046875
10.0,1.1875,1.0625,1.03125
11.0,1.375,1.125,1.0546875
12.0,1.4375,1.125,1.078125
13.0,1.5625,1.21875,1.09375
14.0,1.625,1.375,1.3046875
15.0,1.875,1.375,1.28125
16.0,1.0,1.375,1.40625
17.0,1.0,1.5625,1.171875
18.0,1.0,1.40625,1.328125
19.0,1.0,1.375,1.203125
20.0,1.0,1.5,1.1875
