strike,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-21,2021-07-16
5.0,0.71875,1.4375,0.96875,1.40625,0.90625,1.09375,1.0
6.0,0.71875,1.4375,0.96875,1.40625,0.90625,1.09375,1.375
7.0,0.71875,1.4375,0.96875,1.40625,0.90625,1.09375,1.375
8.0,0.71875,1.4375,0.96875,1.40625,0.90625,1.09375,1.2760416666666667
9.0,0.71875,1.4375,0.96875,1.40625,0.90625,1.09375,1.1770833333333333
10.0,0.71875,1.4375,0.96875,1.40625,0.90625,1.09375,1.078125
11.0,0.71875,1.4375,0.96875,1.40625,0.90625,1.09375,1.1484375
12.0,0.71875,1.421875,0.96875,1.40625,0.90625,1.09375,0.9765625
13.0,0.71875,1.40625,0.96875,1.40625,0.90625,1.46875,0.84375
14.0,0.71875,1.3125,0.96875,1.40625,0.90625,1.4140625,0.984375
14.5,0.71875,1.5,0.96875,1.40625,0.90625,1.2421875,1.01953125
15.0,0.71875,1.0,0.96875,1.40625,0.90625,1.0703125,1.0546875
15.5,0.71875,1.734375,0.96875,1.40625,1.0104166666666667,1.05078125,1.05859375
16.0,0.71875,0.984375,0.96875,1.40625,1.1145833333333333,1.03125,1.0625
16.5,0.71875,1.3828125,1.3125,1.0625,1.21875,0.9921875,1.04296875
17.0,0.671875,1.03125,0.6953125,1.234375,1.0078125,0.953125,1.0234375
17.5,0.71875,0.96875,1.0078125,1.234375,1.1796875,1.0078125,1.048828125
18.0,0.75,1.03125,1.1171875,1.0625,1.0859375,1.0625,1.07421875
18.5,0.734375,1.015625,1.046875,1.0390625,1.05859375,1.06640625,1.0703125
19.0,0.75,1.0,1.0390625,1.09375,1.03125,1.0703125,1.06640625
19.5,0.78125,1.0625,0.75,1.0859375,1.09375,1.07421875,1.0546875
20.0,0.828125,1.09375,1.21875,1.078125,1.0390625,1.078125,1.04296875
20.5,0.84375,1.09375,1.171875,1.1640625,1.16796875,1.109375,1.044921875
21.0,0.875,1.1231617647058822,1.125,1.234375,1.296875,1.140625,1.046875
21.5,0.9375,1.1525735294117647,1.0390625,1.3125,1.2890625,1.14453125,1.072265625
22.0,1.0,1.181985294117647,1.125,1.046875,1.28125,1.1484375,1.09765625
22.5,1.0,1.2113970588235294,1.34375,1.5,1.2734375,1.17578125,1.10546875
23.0,1.0625,1.2408088235294117,1.15625,1.171875,1.265625,1.203125,1.11328125
23.5,1.125,1.2702205882352942,1.328125,1.34375,1.265625,1.26171875,1.080078125
24.0,1.125,1.2996323529411764,1.1875,1.41015625,1.265625,1.3203125,1.046875
24.5,1.375,1.3290441176470589,1.1953125,1.4765625,1.265625,1.234375,1.06875
25.0,1.125,1.3584558823529411,1.203125,1.21875,1.265625,1.1484375,1.090625
25.5,1.1875,1.3878676470588236,1.234375,1.328125,1.265625,1.22265625,1.1125
26.0,1.25,1.4172794117647058,1.265625,1.4375,1.265625,1.296875,1.134375
26.5,1.4375,1.4466911764705883,1.5,1.21875,1.265625,1.26953125,1.15625
27.0,1.4375,1.4761029411764706,1.5,1.21875,1.265625,1.2421875,1.178125
27.5,1.4375,1.5055147058823528,1.5,1.21875,1.265625,1.2890625,1.2
28.0,1.4375,1.5349264705882353,1.5,1.21875,1.265625,1.3359375,1.221875
28.5,1.4375,1.5643382352941178,1.5,1.21875,1.265625,1.29296875,1.24375
29.0,1.4375,1.59375,1.5,1.21875,1.265625,1.25,1.265625
29.5,1.4375,1.53125,1.5,1.21875,1.265625,1.26171875,1.21875
30.0,1.4375,1.46875,1.5,1.21875,1.265625,1.2734375,1.171875
30.5,1.4375,1.484375,1.5,1.21875,1.265625,1.2734375,1.189453125
31.0,1.4375,1.5,1.5,1.21875,1.265625,1.2734375,1.20703125
31.5,1.4375,1.625,1.5,1.21875,1.265625,1.2734375,1.275390625
32.0,1.4375,1.75,1.5,1.21875,1.265625,1.2734375,1.34375
32.5,1.4375,1.828125,1.5,1.21875,1.265625,1.2734375,1.296875
33.0,1.4375,1.90625,1.5,1.21875,1.265625,1.2734375,1.25
34.0,1.4375,1.78125,1.5,1.21875,1.265625,1.2734375,1.3125
35.0,1.4375,1.625,1.5,1.21875,1.265625,1.2734375,1.2421875
36.0,1.4375,1.8125,1.5,1.21875,1.265625,1.2734375,1.3046875
37.0,1.4375,1.875,1.5,1.21875,1.265625,1.2734375,1.27734375
38.0,1.4375,1.0,1.5,1.21875,1.265625,1.2734375,1.34375
39.0,1.4375,1.9375,1.5,1.21875,1.265625,1.2734375,1.328125
40.0,1.4375,1.8125,1.5,1.21875,1.265625,1.2734375,1.265625
41.0,1.4375,1.8645833333333333,1.5,1.21875,1.265625,1.2734375,1.3125
42.0,1.4375,1.9166666666666667,1.5,1.21875,1.265625,1.2734375,1.28125
43.0,1.4375,1.96875,1.5,1.21875,1.265625,1.2734375,1.80859375
44.0,1.4375,1.8515625,1.5,1.21875,1.265625,1.2734375,1.3828125
45.0,1.4375,1.734375,1.5,1.21875,1.265625,1.2734375,1.31640625
46.0,1.4375,1.6171875,1.5,1.21875,1.265625,1.2734375,1.390625
47.0,1.4375,1.5,1.5,1.21875,1.265625,1.2734375,1.3125
48.0,1.4375,1.875,1.5,1.21875,1.265625,1.2734375,1.3515625
