strike,2021-04-16,2021-04-23,2021-04-30,2021-05-21,2021-06-18,2021-09-17
1.0,1.0,1.6875,1.4375,1.0,1.5,1.671875
2.0,1.0,1.6875,1.4375,1.0,1.5,1.671875
3.0,1.0,1.6875,1.4375,1.0,1.5,1.671875
4.0,1.0,1.6875,1.4375,1.0625,1.5,1.671875
5.0,0.9375,1.6875,1.4375,1.21875,1.5,1.671875
6.0,1.15625,1.6875,1.4375,1.3125,1.5,1.671875
6.5,1.296875,1.6875,1.4375,1.3828125,1.5,1.671875
7.0,1.4375,1.6875,1.4375,1.453125,1.5,1.671875
7.5,1.53125,1.6875,1.71875,1.5546875,1.5390625,1.65625
8.0,1.625,1.6875,1.671875,1.65625,1.578125,1.640625
8.5,1.75,1.6875,1.625,1.6796875,1.62109375,1.66796875
9.0,1.875,1.6875,1.96875,1.703125,1.6640625,1.6953125
9.5,1.8289473684210527,1.890625,1.921875,1.84765625,1.79296875,1.71875
10.0,1.7828947368421053,1.8680555555555556,1.875,1.9921875,1.921875,1.7421875
10.5,1.736842105263158,1.8454861111111112,1.8482142857142858,1.9921875,1.925,1.796875
11.0,1.6907894736842106,1.8229166666666667,1.8214285714285714,1.9921875,1.928125,1.8515625
11.5,1.6447368421052633,1.8003472222222223,1.7946428571428572,1.9921875,1.93125,1.859375
12.0,1.598684210526316,1.7777777777777777,1.7678571428571428,1.9921875,1.934375,1.8671875
12.5,1.5526315789473684,1.7552083333333333,1.7410714285714286,1.9921875,1.9375,1.8515625
13.0,1.506578947368421,1.7326388888888888,1.7142857142857144,1.9921875,1.940625,1.8359375
13.5,1.4605263157894737,1.7100694444444444,1.6875,1.9921875,1.94375,1.7578125
14.0,1.4144736842105263,1.6875,1.59375,1.9921875,1.946875,1.6796875
14.5,1.368421052631579,1.75,1.703125,1.9921875,1.95,1.78515625
15.0,1.3223684210526316,1.8125,1.8125,1.9921875,1.953125,1.890625
15.5,1.2763157894736843,1.875,1.8125,1.9921875,1.95625,1.78515625
16.0,1.2302631578947367,1.9375,1.8125,1.9921875,1.959375,1.6796875
16.5,1.1842105263157894,1.46875,1.8125,1.9921875,1.9625,1.76953125
17.0,1.138157894736842,1.0,1.8125,1.9921875,1.965625,1.859375
17.5,1.0921052631578947,1.0,1.8125,1.9921875,1.96875,1.8671875
18.0,1.0460526315789473,1.0,1.8125,1.9921875,1.971875,1.875
19.0,1.0,1.0,1.8125,1.9921875,1.975,1.90625
20.0,1.0,1.0,1.8125,1.9921875,1.978125,1.92578125
21.0,1.0,1.0,1.8125,1.9921875,1.98125,1.9453125
22.0,1.0,1.0,1.8125,1.9921875,1.984375,1.9479166666666667
23.0,1.0,1.0,1.8125,1.9921875,1.8046875,1.9505208333333333
24.0,1.0,1.0,1.8125,1.9921875,1.625,1.953125
25.0,1.0,1.0,1.8125,1.9921875,1.625,1.953125
26.0,1.0,1.0,1.8125,1.9921875,1.625,1.953125
