strike,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-06-30,2021-07-02,2021-07-16,2021-08-20,2021-09-17,2021-09-30,2021-11-19,2021-12-17,2021-12-31
137.0,0.875,0.37890625,0.373046875,0.3046875,0.923828125,0.3017578125,0.37890625,0.1806640625,0.169921875,0.349609375,0.490234375,0.51953125,0.3232421875,0.45849609375,0.422119140625
140.0,0.875,0.37890625,0.373046875,0.3046875,0.923828125,0.3017578125,0.37890625,0.1806640625,0.169921875,0.349609375,0.490234375,0.51953125,0.3232421875,0.45849609375,0.422119140625
145.0,0.875,0.37890625,0.373046875,0.3046875,0.923828125,0.3017578125,0.37890625,0.1806640625,0.169921875,0.349609375,0.490234375,0.51953125,0.3232421875,0.45849609375,0.422119140625
150.0,0.875,0.37890625,0.373046875,0.3046875,0.923828125,0.3017578125,0.37890625,0.1806640625,0.169921875,0.349609375,0.490234375,0.51953125,0.3232421875,0.45849609375,0.422119140625
151.0,0.875,0.37890625,0.373046875,0.3046875,0.923828125,0.3017578125,0.37890625,0.1806640625,0.169921875,0.349609375,0.490234375,0.51953125,0.3232421875,0.45849609375,0.422119140625
152.0,0.875,0.37890625,0.373046875,0.3046875,0.923828125,0.3017578125,0.37890625,0.1806640625,0.169921875,0.349609375,0.490234375,0.51953125,0.3232421875,0.45849609375,0.422119140625
153.0,0.875,0.37890625,0.373046875,0.3046875,0.923828125,0.3017578125,0.37890625,0.1806640625,0.169921875,0.349609375,0.490234375,0.51953125,0.3232421875,0.45849609375,0.422119140625
154.0,0.875,0.37890625,0.373046875,0.3046875,0.923828125,0.3017578125,0.37890625,0.1806640625,0.169921875,0.349609375,0.490234375,0.51953125,0.3232421875,0.45849609375,0.422119140625
155.0,0.875,0.37890625,0.373046875,0.3046875,0.923828125,0.3017578125,0.37890625,0.1806640625,0.169921875,0.349609375,0.490234375,0.51953125,0.3232421875,0.45849609375,0.422119140625
158.0,0.875,0.37890625,0.373046875,0.3046875,0.923828125,0.3017578125,0.37890625,0.1806640625,0.169921875,0.349609375,0.490234375,0.51953125,0.3232421875,0.45849609375,0.422119140625
160.0,0.875,0.37890625,0.373046875,0.3046875,0.923828125,0.3017578125,0.37890625,0.1806640625,0.169921875,0.349609375,0.490234375,0.51953125,0.3232421875,0.45849609375,0.422119140625
161.0,0.875,0.37890625,0.373046875,0.3046875,0.923828125,0.3017578125,0.37890625,0.1806640625,0.169921875,0.349609375,0.490234375,0.51953125,0.3232421875,0.45849609375,0.422119140625
162.0,0.875,0.37890625,0.373046875,0.3046875,0.923828125,0.3017578125,0.37890625,0.1806640625,0.169921875,0.349609375,0.490234375,0.51953125,0.3232421875,0.45849609375,0.422119140625
163.0,0.875,0.37890625,0.373046875,0.3046875,0.923828125,0.3017578125,0.37890625,0.1806640625,0.169921875,0.349609375,0.490234375,0.51953125,0.3232421875,0.45849609375,0.422119140625
164.0,0.875,0.37890625,0.373046875,0.3046875,0.923828125,0.3017578125,0.37890625,0.1806640625,0.169921875,0.349609375,0.490234375,0.51953125,0.3232421875,0.45849609375,0.422119140625
165.0,0.875,0.37890625,0.373046875,0.3046875,0.923828125,0.3017578125,0.37890625,0.1806640625,0.169921875,0.349609375,0.490234375,0.51953125,0.3232421875,0.45849609375,0.422119140625
166.0,0.875,0.37890625,0.373046875,0.3046875,0.923828125,0.3017578125,0.37890625,0.1806640625,0.169921875,0.349609375,0.490234375,0.51953125,0.3232421875,0.45849609375,0.422119140625
167.0,0.875,0.37890625,0.373046875,0.3046875,0.923828125,0.3017578125,0.37890625,0.1806640625,0.169921875,0.349609375,0.490234375,0.51953125,0.3232421875,0.45849609375,0.422119140625
168.0,0.875,0.37890625,0.373046875,0.3046875,0.923828125,0.3017578125,0.37890625,0.1806640625,0.169921875,0.349609375,0.490234375,0.51953125,0.3232421875,0.45849609375,0.422119140625
