strike,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-06-30,2021-07-02,2021-07-16,2021-08-20,2021-09-17,2021-09-30,2021-12-17,2021-12-31
19.0,1.0,0.390625,0.40625,0.359375,1.3125,0.390625,1.25,0.40234375,0.4140625,0.453125,0.640625,1.234375,0.359375,0.482421875
20.0,1.0,0.390625,0.40625,0.359375,1.3125,0.390625,1.25,0.40234375,0.4140625,0.453125,0.640625,0.75,0.359375,0.482421875
21.0,1.0,0.390625,0.40625,0.359375,1.3125,0.390625,1.20625,0.40234375,0.4140625,0.453125,0.640625,0.9140625,0.359375,0.482421875
22.0,1.0,0.390625,0.40625,0.359375,1.3125,0.390625,1.1625,0.40234375,0.4140625,0.453125,0.640625,0.71875,0.359375,0.482421875
23.0,1.0,0.390625,0.40625,0.359375,1.3125,0.390625,1.11875,0.40234375,0.4140625,0.453125,0.640625,0.78125,0.359375,0.482421875
24.0,1.0,0.390625,0.40625,0.359375,1.125,0.390625,1.075,0.40234375,0.4140625,0.453125,0.640625,0.734375,0.359375,0.482421875
25.0,1.0,0.390625,0.40625,0.359375,1.125,0.390625,1.03125,0.40234375,0.4140625,0.453125,0.640625,0.65625,0.359375,0.482421875
26.0,1.0,0.390625,0.40625,0.359375,0.75,0.390625,1.0,0.40234375,0.4140625,0.453125,0.640625,0.6796875,0.359375,0.482421875
27.0,1.0,0.390625,0.40625,0.359375,1.0,0.390625,0.90625,0.40234375,0.4140625,0.453125,0.7578125,0.6640625,0.359375,0.482421875
28.0,1.0,0.390625,0.40625,0.359375,0.9375,0.390625,0.875,0.40234375,0.4140625,0.453125,0.6484375,0.640625,0.359375,0.482421875
29.0,1.0,0.390625,0.40625,0.359375,0.875,0.390625,0.84375,0.40234375,0.4140625,0.453125,0.515625,0.578125,0.359375,0.482421875
30.0,1.0,0.390625,0.40625,0.359375,0.875,0.390625,0.78125,0.40234375,0.4140625,0.453125,0.484375,0.515625,0.359375,0.482421875
31.0,1.0,0.390625,0.40625,0.359375,1.03125,0.390625,1.2421875,0.40234375,0.4140625,0.453125,0.484375,0.59375,0.359375,0.482421875
32.0,1.0,0.390625,0.40625,0.359375,0.5,0.390625,0.8984375,0.40234375,0.4140625,0.453125,0.53125,0.5078125,0.359375,0.482421875
33.0,1.0,0.390625,0.40625,0.359375,0.6875,0.390625,0.671875,0.40234375,0.4140625,0.453125,0.4921875,0.47265625,0.359375,0.482421875
34.0,1.0,0.390625,0.40625,0.359375,0.6875,0.390625,0.625,0.40234375,0.4140625,0.453125,0.46875,0.58203125,0.359375,0.482421875
35.0,1.0,0.390625,0.40625,0.359375,0.625,0.390625,0.65625,0.40234375,0.4140625,0.453125,0.515625,0.654296875,0.359375,0.482421875
36.0,1.0,0.390625,0.40625,0.359375,0.625,0.390625,0.59375,0.40234375,0.4140625,0.453125,0.4375,0.46875,0.359375,0.482421875
37.0,1.75,0.390625,0.40625,0.359375,0.625,0.390625,0.6015625,0.40234375,0.4140625,0.453125,0.453125,0.4296875,0.359375,0.482421875
