strike,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-21,2021-06-18,2021-09-17
1.0,1.5,1.0,1.875,1.390625,1.0,1.359375,1.46875
2.0,1.5,1.0,1.875,1.390625,1.0,1.359375,1.46875
3.0,1.5,1.0,1.875,1.390625,1.0,1.359375,1.46875
4.0,1.5,1.0,1.875,1.390625,1.0625,1.359375,1.46875
5.0,1.5,0.875,1.875,1.390625,1.1875,1.359375,1.46875
6.0,1.5,1.09375,1.875,1.390625,1.328125,1.359375,1.46875
6.5,1.5,1.1875,1.875,1.390625,1.3828125,1.40625,1.515625
7.0,1.5,1.28125,1.875,1.390625,1.4375,1.453125,1.5625
7.5,1.5,1.375,1.875,1.5,1.53125,1.515625,1.6328125
8.0,1.5,1.46875,1.875,1.78125,1.625,1.578125,1.703125
8.5,1.5,1.53125,1.875,1.5625,1.703125,1.6796875,1.68359375
9.0,1.5,1.59375,1.875,1.8125,1.78125,1.78125,1.6640625
9.5,1.5,1.640625,1.8541666666666667,1.8125,1.796875,1.765625,1.69140625
10.0,1.53125,1.6875,1.8333333333333333,1.7421875,1.8125,1.75,1.71875
10.5,1.5625,1.75,1.8125,1.671875,1.828125,1.859375,1.796875
11.0,1.59375,1.8125,1.6964285714285714,1.6328125,1.84375,1.96875,1.875
11.5,1.625,1.8125,1.5803571428571428,1.59375,1.84375,1.9765625,1.8125
12.0,1.625,1.8125,1.4642857142857144,1.5546875,1.84375,1.984375,1.75
12.5,1.625,1.8125,1.3482142857142856,1.515625,1.84375,1.9765625,1.7734375
13.0,1.625,1.8125,1.2321428571428572,1.4765625,1.84375,1.96875,1.796875
13.5,1.625,1.8125,1.1160714285714286,1.4375,1.84375,1.90625,1.71875
14.0,1.625,1.8125,1.0,1.25,1.84375,1.84375,1.640625
14.5,1.625,1.8125,1.34375,1.40625,1.84375,1.8671875,1.7421875
15.0,1.625,1.8125,1.6875,1.5625,1.84375,1.890625,1.84375
15.5,1.625,1.8125,1.59375,1.5625,1.84375,1.9140625,1.73828125
16.0,1.625,1.8125,1.5,1.5625,1.84375,1.9375,1.6328125
16.5,1.625,1.8125,1.5,1.5625,1.84375,1.7265625,1.72265625
17.0,1.625,1.8125,1.5,1.5625,1.84375,1.515625,1.8125
17.5,1.625,1.8125,1.5,1.5625,1.84375,1.609375,1.82421875
18.0,1.625,1.8125,1.5,1.5625,1.84375,1.703125,1.8359375
19.0,1.625,1.8125,1.5,1.5625,1.84375,1.796875,1.859375
20.0,1.625,1.8125,1.5,1.5625,1.84375,1.890625,1.8828125
21.0,1.625,1.8125,1.5,1.5625,1.84375,1.984375,1.90625
22.0,1.625,1.8125,1.5,1.5625,1.84375,1.890625,0.9375
23.0,1.625,1.8125,1.5,1.5625,1.84375,1.6640625,1.21875
24.0,1.625,1.8125,1.5,1.5625,1.84375,1.4375,1.890625
25.0,1.625,1.8125,1.5,1.5625,1.84375,1.4375,1.890625
