,AAPL,APHA,BAC,C,GE,HEXO,IWM,JPM,MS,MSFT,TD,TLRY,TSLA,USB,XLE,XLV
AAPL,1.0,0.14326956514373446,0.2846893491800942,0.26691707583467533,0.15243028221107444,0.10150086869480719,0.4893920537266308,0.24049574357595072,0.38274619501679974,0.758678118923811,0.33804097182846843,0.12330671882272086,0.4880825198587923,0.20840438173202633,0.24304888174749967,0.5497421070141805
APHA,0.14326956514373446,1.0,0.21051676234392347,0.2620881865773457,0.24516125953138776,0.593111825472368,0.3352979204575828,0.21967902543933202,0.24592195392941707,0.13804087716038507,0.22550277223383466,0.7452376310907141,0.26666782117930693,0.2089427661455838,0.29351446168119116,0.2004860411608339
BAC,0.2846893491800942,0.21051676234392347,1.0,0.9097521506246429,0.6694783930691924,0.19965760132632446,0.7803093640261773,0.9396603470571117,0.862747320156568,0.3053598388380081,0.7926486945377815,0.23218136105114115,0.17092497864764544,0.9055726156633083,0.7748863459470555,0.5543760499365596
C,0.26691707583467533,0.2620881865773457,0.9097521506246429,1.0,0.6753075520423902,0.27208643365960633,0.7885368175707651,0.8888273505313757,0.8248996286195318,0.30132382691927345,0.7865053534984426,0.2815847058652622,0.19760690105006257,0.8646961245958404,0.7732336356146805,0.48483521357243714
GE,0.15243028221107444,0.24516125953138776,0.6694783930691924,0.6753075520423902,1.0,0.25887793557435296,0.6312732847066662,0.6737946220688791,0.673501569538537,0.15206615406033638,0.678409432651117,0.19808878749702385,0.10365749827196843,0.657078175282219,0.6716019405665739,0.4362676945011022
HEXO,0.10150086869480719,0.593111825472368,0.19965760132632446,0.27208643365960633,0.25887793557435296,1.0,0.3144942436020949,0.20498467355043737,0.18204225724079887,0.0860943310602172,0.2379718256833418,0.6407329964676771,0.18249474537267663,0.24781163993575914,0.25074659578545594,0.09581936991632097
IWM,0.4893920537266308,0.3352979204575828,0.7803093640261773,0.7885368175707651,0.6312732847066662,0.3144942436020949,1.0,0.7651639525224345,0.7767562504124494,0.523567826670564,0.7498907228592697,0.3212809723227895,0.3922467691520676,0.7481263052579139,0.7599154263308933,0.6680078074485906
JPM,0.24049574357595072,0.21967902543933202,0.9396603470571117,0.8888273505313757,0.6737946220688791,0.20498467355043737,0.7651639525224345,1.0,0.8544205439266376,0.2768972957416015,0.7820037621350615,0.22301232533924495,0.15305541318365434,0.9077243517683111,0.7576078158898065,0.5256153932608585
MS,0.38274619501679974,0.24592195392941707,0.862747320156568,0.8248996286195318,0.673501569538537,0.18204225724079887,0.7767562504124494,0.8544205439266376,1.0,0.3927004922212725,0.7978671891567263,0.2079162696454573,0.24276216571025724,0.7908706721648501,0.7416972911651293,0.6187331352712161
MSFT,0.758678118923811,0.13804087716038507,0.3053598388380081,0.30132382691927345,0.15206615406033638,0.0860943310602172,0.523567826670564,0.2768972957416015,0.3927004922212725,1.0,0.35045345762934793,0.12353870065081303,0.49066905396707333,0.22149463234946093,0.2911742421028809,0.6703640480889338
TD,0.33804097182846843,0.22550277223383466,0.7926486945377815,0.7865053534984426,0.678409432651117,0.2379718256833418,0.7498907228592697,0.7820037621350615,0.7978671891567263,0.35045345762934793,1.0,0.16107398862018724,0.27851965821943286,0.765293109889853,0.7466578042633998,0.5731084607699326
TLRY,0.12330671882272086,0.7452376310907141,0.23218136105114115,0.2815847058652622,0.19808878749702385,0.6407329964676771,0.3212809723227895,0.22301232533924495,0.2079162696454573,0.12353870065081303,0.16107398862018724,1.0,0.19130518630848334,0.25049416468200236,0.26596058041734444,0.14075602735906423
TSLA,0.4880825198587923,0.26666782117930693,0.17092497864764544,0.19760690105006257,0.10365749827196843,0.18249474537267663,0.3922467691520676,0.15305541318365434,0.24276216571025724,0.49066905396707333,0.27851965821943286,0.19130518630848334,1.0,0.11655217301799706,0.20962208592087808,0.30082140543621894
USB,0.20840438173202633,0.2089427661455838,0.9055726156633083,0.8646961245958404,0.657078175282219,0.24781163993575914,0.7481263052579139,0.9077243517683111,0.7908706721648501,0.22149463234946093,0.765293109889853,0.25049416468200236,0.11655217301799706,1.0,0.7318790910454972,0.5085502534469061
XLE,0.24304888174749967,0.29351446168119116,0.7748863459470555,0.7732336356146805,0.6716019405665739,0.25074659578545594,0.7599154263308933,0.7576078158898065,0.7416972911651293,0.2911742421028809,0.7466578042633998,0.26596058041734444,0.20962208592087808,0.7318790910454972,1.0,0.5294131332434502
XLV,0.5497421070141805,0.2004860411608339,0.5543760499365596,0.48483521357243714,0.4362676945011022,0.09581936991632097,0.6680078074485906,0.5256153932608585,0.6187331352712161,0.6703640480889338,0.5731084607699326,0.14075602735906423,0.30082140543621894,0.5085502534469061,0.5294131332434502,1.0
