strike,2021-03-12,2021-03-19,2021-03-26,2021-03-31,2021-04-01,2021-04-09,2021-04-16,2021-04-23,2021-05-21,2021-06-18,2021-06-30,2021-08-20
197.0,0.7489013671875,ITM,,ITM,,,0.412139892578125,,0.292205810546875,0.4651641845703125,0.38116455078125,0.39531707763671875
197.5,1.397705078125,,0.921630859375,,0.505828857421875,0.44464111328125,,,,,,
198.0,ITM,ITM,,0.8272552490234375,,,0.387420654296875,,0.56365966796875,0.41660308837890625,ITM,0.26584625244140625
199.0,0.78094482421875,ITM,,0.710296630859375,0.603790283203125,,0.342864990234375,,0.2654266357421875,0.34961700439453125,0.44246673583984375,0.21671295166015625
199.5,ITM,,,,,,,,,,,
200.0,1.09039306640625,0.50140380859375,0.463714599609375,ITM,ITM,0.49835205078125,0.41351318359375,,0.33702850341796875,0.33275604248046875,0.18009185791015625,0.30857086181640625
201.0,ITM,ITM,0.3570556640625,ITM,0.41748046875,,0.411834716796875,,0.166168212890625,ITM,0.32958984375,
202.0,0.91400146484375,0.65704345703125,ITM,0.8661651611328125,0.3887939453125,,0.4387664794921875,,0.40531158447265625,0.3385162353515625,0.32444000244140625,0.2793121337890625
202.5,ITM,,0.53924560546875,,0.39093017578125,0.4619598388671875,,,,,,
203.0,1.06597900390625,0.44036865234375,,0.37078857421875,,,0.430908203125,,0.40191650390625,0.31253814697265625,0.2197265625,0.27683258056640625
204.0,0.6268310546875,ITM,,ITM,,,0.376739501953125,,0.203094482421875,0.2535247802734375,ITM,0.19588470458984375
205.0,0.660400390625,0.45013427734375,0.506134033203125,ITM,0.390167236328125,0.4393768310546875,0.3314971923828125,0.379180908203125,0.34801483154296875,0.2783966064453125,0.428924560546875,0.38784027099609375
206.0,ITM,0.2099609375,ITM,0.7391357421875,0.2301025390625,,0.3633880615234375,,0.1816558837890625,0.4799652099609375,0.437774658203125,0.3768157958984375
207.0,0.906982421875,0.583343505859375,0.52215576171875,ITM,ITM,,0.4013824462890625,,0.21331787109375,0.1378631591796875,0.2176666259765625,0.2744293212890625
207.5,0.89111328125,,0.423431396484375,,ITM,0.4308319091796875,,,,,,
208.0,0.62225341796875,0.4217529296875,0.354156494140625,0.4250335693359375,,,0.3813934326171875,,0.29254913330078125,0.1709747314453125,0.2075958251953125,0.20000457763671875
209.0,0.5670166015625,0.5291748046875,0.2716064453125,0.268402099609375,,,0.3510284423828125,0.350494384765625,0.19256591796875,0.2423858642578125,0.4122161865234375,0.3522491455078125
210.0,0.53802490234375,0.438690185546875,0.4941558837890625,0.3916168212890625,0.377044677734375,0.3485107421875,0.3063201904296875,0.3635406494140625,0.2996063232421875,0.293121337890625,0.14007568359375,0.20236968994140625
211.0,0.47119140625,0.44647216796875,0.422821044921875,0.4277801513671875,0.379486083984375,0.2379608154296875,0.352630615234375,0.3107452392578125,0.2689361572265625,0.299224853515625,0.1971435546875,0.21038055419921875
212.0,0.597991943359375,0.389251708984375,0.4656982421875,0.1055908203125,0.373992919921875,,0.3515625,0.3307342529296875,0.32054901123046875,0.31467437744140625,0.19832611083984375,0.229949951171875
212.5,0.5072021484375,,0.147705078125,,0.4244232177734375,0.3998565673828125,,0.1384735107421875,,,,
