strike,2021-04-16,2021-05-21,2021-08-20
1.0,0.6875,1.5,0.84375
2.0,0.6875,1.5,0.84375
3.0,0.6875,1.5,0.84375
3.5,0.6875,1.5,0.84375
4.0,0.6875,1.15625,0.8125
4.5,0.6875,0.8125,0.78125
5.0,0.6875,0.90625,0.796875
5.5,0.6875,0.90625,0.703125
6.0,0.6875,0.734375,0.765625
7.0,0.875,0.84375,0.828125
8.0,1.125,0.890625,0.875
9.0,1.25,0.9375,0.875
10.0,1.5,1.03125,0.9375
11.0,1.875,1.125,0.96875
12.0,1.875,1.125,0.984375
13.0,1.875,1.1875,1.078125
14.0,1.875,1.3125,1.125
15.0,1.875,1.375,1.03125
16.0,1.875,1.25,1.15625
17.0,1.875,1.375,1.0625
18.0,1.875,1.8125,1.0625
19.0,1.875,1.5,1.15625
20.0,1.875,1.5,1.09375
