strike,2021-06-18,2021-08-20,2021-11-19
1.0,1.0,0.96875,1.546875
2.0,1.0,0.96875,1.546875
3.0,0.9125,0.96875,1.546875
3.5,0.825,0.96875,0.8984375
4.0,0.7375,0.25,0.25
4.5,0.65,0.40625,0.37890625
5.0,0.5625,0.5,0.5078125
5.5,0.609375,0.546875,0.53515625
6.0,0.65625,0.609375,0.5625
7.0,0.8125,0.671875,0.625
8.0,0.875,0.734375,0.65625
9.0,0.875,0.75,0.6875
10.0,1.125,0.8125,0.6875
11.0,1.25,0.78125,0.78125
12.0,1.375,0.90625,0.953125
13.0,1.375,0.875,0.71875
14.0,1.375,0.9375,0.78125
15.0,1.375,1.0625,0.75
16.0,1.375,1.125,0.96875
17.0,1.375,1.1875,0.96875
18.0,1.375,1.1875,0.96875
19.0,1.375,1.0,0.96875
20.0,1.375,1.0,0.96875
