strike,2021-04-16,2021-05-21,2021-07-16,2021-08-20
20.0,0.71875,1.4375,1.4921875,0.78515625
25.0,0.71875,1.4375,1.359375,0.78515625
30.0,0.71875,1.4375,1.203125,0.78515625
33.0,0.71875,1.4375,0.939453125,0.78515625
34.0,0.71875,1.4375,0.9951171875,0.78515625
35.0,0.71875,1.4375,1.05078125,0.78515625
36.0,0.71875,1.4375,1.03515625,0.78515625
37.0,0.71875,1.4375,1.01953125,0.953125
38.0,0.71875,1.27734375,1.00390625,1.12109375
39.0,0.71875,1.33984375,0.6953125,0.9453125
40.0,0.71875,1.330078125,0.38671875,0.798828125
41.0,0.6546875,1.3203125,0.462890625,0.396484375
42.0,0.590625,0.984375,0.5390625,0.375
43.0,0.5265625,1.6953125,0.5006510416666666,0.90625
44.0,0.4625,0.583984375,0.4622395833333333,1.109375
45.0,0.3984375,0.39453125,0.423828125,0.775390625
46.0,0.42578125,0.568359375,0.48828125,0.45703125
47.0,0.453125,0.4375,0.552734375,0.458984375
48.0,0.48046875,0.57421875,0.5201822916666666,0.5390625
49.0,0.5078125,0.583984375,0.4876302083333333,0.4453125
50.0,0.53515625,0.55859375,0.455078125,0.54296875
55.0,0.515625,0.5625,0.52734375,0.4921875
60.0,0.59375,0.55859375,0.51953125,0.490234375
65.0,0.71875,0.5625,0.50390625,0.552734375
70.0,0.75,0.5859375,0.4765625,0.57421875
75.0,1.015625,0.8984375,0.484375,0.51171875
80.0,1.28125,0.8359375,0.5078125,0.6875
