strike,2021-05-21,2021-06-18,2021-08-20
1.0,1.875,1.5625,0.90625
2.0,1.875,1.5625,0.90625
3.0,1.875,1.5625,0.90625
3.5,1.875,1.3125,0.90625
4.0,1.0,1.0625,0.90625
4.5,1.5,1.0,1.15625
5.0,1.0,0.9375,1.03125
5.5,0.9375,0.96875,1.0625
6.0,0.875,1.0,1.15625
7.0,1.0625,1.125,1.265625
8.0,1.46875,1.328125,1.65625
9.0,1.46875,1.59375,1.71875
10.0,1.46875,1.59375,1.96875
11.0,1.46875,1.59375,1.96875
12.0,1.46875,1.59375,1.96875
13.0,1.46875,1.59375,1.96875
14.0,1.46875,1.59375,1.96875
15.0,1.46875,1.59375,1.96875
16.0,1.46875,1.59375,1.96875
17.0,1.46875,1.59375,1.96875
18.0,1.46875,1.59375,1.96875
19.0,1.46875,1.59375,1.96875
20.0,1.46875,1.59375,1.96875
