strike,2021-03-19,2021-04-16,2021-05-21,2021-08-20
1.0,1.75,1.625,1.4375,0.8125
2.0,1.75,1.625,1.4375,0.8125
3.0,1.75,1.625,1.4375,0.8125
3.5,1.75,1.625,1.4375,0.8125
4.0,1.75,1.625,0.875,0.859375
4.5,1.75,1.484375,0.90625,0.90625
5.0,1.75,1.34375,0.9375,0.5
5.5,1.75,1.203125,0.5,0.84375
6.0,1.75,1.0625,1.015625,1.0625
7.0,1.75,1.125,1.0625,1.015625
8.0,1.75,1.25,1.109375,1.0234375
9.0,1.75,1.3125,1.09375,0.921875
10.0,1.75,1.34375,1.234375,1.0859375
11.0,1.75,1.40625,1.234375,1.109375
12.0,1.75,1.4375,1.28125,1.171875
13.0,1.75,1.46875,1.296875,1.1484375
14.0,1.75,1.59375,1.28125,1.078125
15.0,1.75,1.5625,1.40625,1.203125
16.0,1.75,1.6875,1.359375,1.203125
17.0,1.75,1.75,1.4375,1.234375
18.0,1.75,1.75,1.5,1.296875
19.0,1.75,1.75,1.5,1.15625
20.0,1.75,1.75,1.5,1.25
